Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability,24_hours,Drive_through,Population,Area_km2,Urban_density,Tourism_index,Average_income,Cost_of_living_index,Weather_zone,Restaurant_density,Cuisine_diversity_index,Delivery_coverage,Currency,Region,FX_Rate,Base_Delivery_Fee_USD,Service_Fee_USD,Packaging_Fee_USD,Peak_Delivery_Fee_USD,Surge_Dollar_Delta_USD,Surge_Intensity_Pct,Surge_Zone_Category
RES000016,Pizza Chain 16,Chain,Pizza,55.716595,103.576415,Rio de Janeiro,Brazil,2020,True,False,False,False,3,2.2,1789,Operational,2.5,4.48,0.83,84,82,2.0,18.89,0.083,False,False,False,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,0.44999999999999996,0.8064,0.14939999999999998,0.8999999999999999,0.44999999999999996,100.0,Critical Surge (>= 2.0x)
RES000017,London Japanese Place 17,Local,Japanese,-7.261116,50.226226,London,United Kingdom,2013,True,False,False,True,4,4.8,891,Operational,4.79,0.74,0.72,61,69,2.47,23.92,0.076,False,True,True,8982000,1572.0,5700,1.3,50000,90,Oceanic,8.54,0.837,0.979,GBP,Europe,1.28,6.1312,0.9472,0.9216,15.144064,9.012864,147.00000000000003,Critical Surge (>= 2.0x)
RES000018,Manchester Pizza Place 18,Local,Pizza,-39.169714,68.985411,Manchester,United Kingdom,2007,True,True,False,True,2,5.0,3782,Operational,4.17,1.83,1.51,66,74,1.73,19.27,0.091,False,True,False,552000,115.0,4800,0.8,35000,75,Oceanic,11.14,0.585,0.85,GBP,Europe,1.28,5.3376,2.3424,1.9328,9.234048,3.8964479999999995,73.0,High Surge (1.5x - 1.99x)
RES000019,Rio de Janeiro Mediterranean Place 19,Local,Mediterranean,73.173845,-2.805527,Rio de Janeiro,Brazil,1951,True,True,True,False,1,2.7,2151,Operational,1.28,4.96,0.76,18,14,1.9,21.61,0.023,True,True,True,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,0.2304,0.8927999999999999,0.1368,0.43776,0.20736,89.99999999999999,High Surge (1.5x - 1.99x)
RES000020,Burger Chain 20,Chain,Burger,89.228332,11.734299,Rio de Janeiro,Brazil,2023,True,False,False,True,1,3.4,511,Operational,9.53,2.12,0.98,82,91,1.28,11.95,0.038,True,True,False,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,1.7153999999999998,0.3816,0.1764,2.195712,0.48031200000000007,28.000000000000004,Moderate Surge (1.1x - 1.49x)
RES000021,Chinese Chain 21,Chain,Chinese,-12.671637,-123.163857,London,United Kingdom,1950,True,False,False,True,4,4.5,1812,Operational,0.06,1.25,0.04,30,25,1.35,21.21,0.096,True,False,False,8982000,1572.0,5700,1.3,50000,90,Oceanic,8.54,0.837,0.979,GBP,Europe,1.28,0.0768,1.6,0.0512,0.10368,0.02688,35.00000000000001,Moderate Surge (1.1x - 1.49x)
RES000025,Mexican Chain 25,Chain,Mexican,38.540015,-36.149351,Osaka,Japan,1980,True,True,True,False,2,3.4,1257,Operational,6.11,2.56,1.33,19,23,1.25,23.13,0.025,True,False,False,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.039715,0.01664,0.008645,0.04964375,0.00992875,25.0,Moderate Surge (1.1x - 1.49x)
RES000026,Burger Chain 26,Chain,Burger,-41.769467,-77.311211,Los Angeles,USA,2000,True,False,False,False,4,4.9,4459,Operational,3.14,2.15,1.86,67,73,2.07,3.26,0.072,False,True,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,3.14,2.15,1.86,6.4998,3.3597999999999995,106.99999999999999,Critical Surge (>= 2.0x)
RES000027,Los Angeles Mexican Place 27,Local,Mexican,26.572574,-121.222318,Los Angeles,USA,2005,True,True,True,True,2,4.9,873,Operational,4.58,3.45,0.93,90,100,1.27,24.92,0.045,True,False,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,4.58,3.45,0.93,5.8166,1.2366000000000001,27.0,Moderate Surge (1.1x - 1.49x)
RES000028,American Chain 28,Chain,American,72.655715,-72.936624,Manchester,United Kingdom,2004,True,False,False,False,3,4.2,1794,Operational,5.74,1.68,0.56,30,25,1.49,14.02,0.036,False,False,False,552000,115.0,4800,0.8,35000,75,Oceanic,11.14,0.585,0.85,GBP,Europe,1.28,7.347200000000001,2.1504,0.7168000000000001,10.947328,3.6001279999999998,49.0,Moderate Surge (1.1x - 1.49x)
RES000029,Osaka Italian Place 29,Local,Italian,-41.037565,-153.804078,Osaka,Japan,2000,True,True,True,True,3,2.1,2694,Operational,8.02,2.87,1.65,76,86,1.26,5.89,0.082,False,False,True,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.052129999999999996,0.018655,0.010724999999999998,0.0656838,0.013553800000000005,26.0,Moderate Surge (1.1x - 1.49x)
RES000030,Delhi Brazilian Place 30,Local,Brazilian,2.789143,9.075067,Delhi,India,1960,True,True,False,False,2,3.0,3241,Operational,5.82,3.29,0.62,17,24,1.88,14.72,0.017,True,False,False,16787000,1484.0,11312,1.1,14000,38,Humid subtropical,48.44,0.543,0.607,INR,Asia,0.012,0.06984,0.03948,0.00744,0.1312992,0.061459200000000005,87.99999999999999,High Surge (1.5x - 1.99x)
RES000032,Japanese Chain 32,Chain,Japanese,68.017251,-135.740968,Tokyo,Japan,2015,True,False,True,False,3,4.6,3404,Operational,6.46,1.61,1.49,58,62,2.34,18.2,0.05,False,True,False,13929000,2194.0,6349,1.4,45000,85,Humid subtropical,43.11,0.547,0.778,JPY,Asia,0.0065,0.04199,0.010465,0.009685,0.0982566,0.0562666,134.0,Critical Surge (>= 2.0x)
RES000033,Sao Paulo Brazilian Place 33,Local,Brazilian,-63.710917,-162.204457,Sao Paulo,Brazil,2002,True,False,False,False,2,2.6,4639,Operational,6.97,3.91,1.53,81,80,1.65,7.26,0.009,False,True,False,12325000,1521.0,8100,0.8,12000,50,Humid subtropical,17.87,0.811,0.692,BRL,South America,0.18,1.2546,0.7038,0.2754,2.07009,0.81549,64.99999999999999,High Surge (1.5x - 1.99x)
RES000034,Sao Paulo French Place 34,Local,French,57.908244,-50.71909,Sao Paulo,Brazil,1992,True,True,True,True,4,2.4,4427,Operational,7.3,2.61,0.1,27,22,2.34,23.75,0.015,True,False,False,12325000,1521.0,8100,0.8,12000,50,Humid subtropical,17.87,0.811,0.692,BRL,South America,0.18,1.3139999999999998,0.46979999999999994,0.018,3.0747599999999995,1.7607599999999997,134.0,Critical Surge (>= 2.0x)
RES000036,Rio de Janeiro French Place 36,Local,French,-13.975236,162.348224,Rio de Janeiro,Brazil,1988,True,True,False,False,4,2.3,4829,Operational,8.57,0.34,1.18,73,70,1.77,5.19,0.009,True,False,True,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,1.5426,0.061200000000000004,0.21239999999999998,2.7304019999999998,1.1878019999999998,77.0,High Surge (1.5x - 1.99x)
RES000037,Italian Chain 37,Chain,Italian,64.175027,-174.784093,Rio de Janeiro,Brazil,1974,True,False,False,False,4,2.2,3983,Operational,0.87,0.07,0.43,69,68,1.64,17.28,0.067,False,False,False,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,0.1566,0.0126,0.0774,0.25682399999999994,0.10022399999999995,63.99999999999999,High Surge (1.5x - 1.99x)
RES000041,Manchester French Place 41,Local,French,20.086165,-162.576135,Manchester,United Kingdom,1982,True,True,False,True,1,3.5,3919,Operational,1.1,3.55,0.39,15,24,1.74,13.38,0.036,False,True,True,552000,115.0,4800,0.8,35000,75,Oceanic,11.14,0.585,0.85,GBP,Europe,1.28,1.4080000000000001,4.544,0.49920000000000003,2.44992,1.04192,74.0,High Surge (1.5x - 1.99x)
RES000042,Delhi American Place 42,Local,American,-21.90693,-173.535476,Delhi,India,1965,True,False,True,True,2,3.5,3891,Operational,2.41,2.96,0.24,74,83,1.18,19.72,0.094,True,True,True,16787000,1484.0,11312,1.1,14000,38,Humid subtropical,48.44,0.543,0.607,INR,Asia,0.012,0.02892,0.03552,0.0028799999999999997,0.0341256,0.005205599999999998,17.999999999999993,Moderate Surge (1.1x - 1.49x)
RES000043,Mumbai Thai Place 43,Local,Thai,54.619859,-158.187111,Mumbai,India,1960,True,False,False,False,4,5.0,428,Operational,2.37,3.44,0.48,50,46,1.63,18.58,0.063,False,True,True,12442000,603.0,20633,0.9,15000,40,Tropical wet and dry,43.76,0.907,0.779,INR,Asia,0.012,0.028440000000000003,0.04128,0.0057599999999999995,0.0463572,0.017917199999999998,62.999999999999986,High Surge (1.5x - 1.99x)
RES000044,Brazilian Chain 44,Chain,Brazilian,-51.050984,149.155581,New York,USA,2002,True,True,False,False,4,4.3,108,Operational,9.1,4.25,1.55,45,43,1.17,0.36,0.076,False,True,False,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,9.1,4.25,1.55,10.646999999999998,1.5469999999999988,16.999999999999993,Moderate Surge (1.1x - 1.49x)
RES000045,Manchester American Place 45,Local,American,-69.582118,-127.036167,Manchester,United Kingdom,2004,True,False,True,True,4,3.8,3714,Closed Temporarily,0.39,2.82,1.31,27,24,2.06,18.87,0.051,False,False,True,552000,115.0,4800,0.8,35000,75,Oceanic,11.14,0.585,0.85,GBP,Europe,1.28,0.49920000000000003,3.6096,1.6768,1.0283520000000002,0.5291520000000001,106.0,Critical Surge (>= 2.0x)
RES000046,New York Japanese Place 46,Local,Japanese,40.191584,160.246385,New York,USA,2000,True,True,True,False,2,3.9,4639,Operational,3.07,3.19,1.77,68,76,2.25,22.92,0.052,True,True,True,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,3.07,3.19,1.77,6.9075,3.8375,125.0,Critical Surge (>= 2.0x)
RES000047,New York Burger Place 47,Local,Burger,-58.579879,77.856411,New York,USA,1985,True,False,False,True,4,3.9,214,Operational,6.73,4.97,0.17,62,62,2.36,14.04,0.1,True,False,False,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,6.73,4.97,0.17,15.8828,9.1528,136.0,Critical Surge (>= 2.0x)
RES000048,Mumbai Pizza Place 48,Local,Pizza,70.507769,-116.169831,Mumbai,India,2018,True,True,False,True,1,3.4,221,Operational,9.72,0.0,0.27,36,42,1.06,11.98,0.07,False,True,False,12442000,603.0,20633,0.9,15000,40,Tropical wet and dry,43.76,0.907,0.779,INR,Asia,0.012,0.11664000000000001,0.0,0.0032400000000000003,0.12363840000000001,0.006998400000000002,6.000000000000005,Baseline (< 1.1x)
RES000049,Manchester Mexican Place 49,Local,Mexican,4.778616,152.150588,Manchester,United Kingdom,2000,True,False,False,True,2,4.5,3652,Operational,2.61,1.67,0.47,86,84,1.28,11.29,0.053,False,True,False,552000,115.0,4800,0.8,35000,75,Oceanic,11.14,0.585,0.85,GBP,Europe,1.28,3.3407999999999998,2.1376,0.6016,4.276224,0.9354240000000003,28.000000000000004,Moderate Surge (1.1x - 1.49x)
RES000050,Tokyo Japanese Place 50,Local,Japanese,11.744267,-174.119012,Tokyo,Japan,2011,True,True,False,True,4,4.8,3395,Operational,9.19,2.87,0.05,84,92,1.06,9.53,0.09,False,True,False,13929000,2194.0,6349,1.4,45000,85,Humid subtropical,43.11,0.547,0.778,JPY,Asia,0.0065,0.059734999999999996,0.018655,0.000325,0.0633191,0.0035841000000000067,6.000000000000005,Baseline (< 1.1x)
RES000052,Los Angeles French Place 52,Local,French,20.228047,46.384744,Los Angeles,USA,2013,True,False,False,False,3,3.0,1936,Operational,8.4,3.9,0.04,42,45,2.23,4.11,0.043,False,False,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,8.4,3.9,0.04,18.732,10.331999999999999,123.0,Critical Surge (>= 2.0x)
RES000053,Mediterranean Chain 53,Chain,Mediterranean,-5.010094,177.255666,Osaka,Japan,1969,True,False,False,False,4,4.4,1215,Operational,6.77,1.33,1.07,84,86,1.55,11.05,0.061,False,True,False,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.044004999999999996,0.008645,0.006955,0.06820775,0.024202750000000002,55.00000000000001,High Surge (1.5x - 1.99x)
RES000054,Osaka French Place 54,Local,French,-60.430337,148.072093,Osaka,Japan,1971,True,True,True,True,3,4.0,1098,Operational,9.8,2.87,1.93,85,80,1.03,24.07,0.018,True,True,True,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.0637,0.018655,0.012544999999999999,0.065611,0.001910999999999996,3.0000000000000027,Baseline (< 1.1x)
RES000055,Delhi Burger Place 55,Local,Burger,47.076771,-141.086005,Delhi,India,1982,True,True,True,False,2,2.7,1841,Operational,5.78,4.71,0.17,68,73,2.29,19.74,0.078,True,False,True,16787000,1484.0,11312,1.1,14000,38,Humid subtropical,48.44,0.543,0.607,INR,Asia,0.012,0.06936,0.05652,0.00204,0.15883440000000001,0.08947440000000001,129.0,Critical Surge (>= 2.0x)
RES000056,Los Angeles Mediterranean Place 56,Local,Mediterranean,-64.662384,20.675515,Los Angeles,USA,1984,True,False,False,False,3,2.9,1970,Operational,8.98,0.9,1.96,67,72,2.17,17.93,0.094,True,False,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,8.98,0.9,1.96,19.4866,10.506599999999999,117.0,Critical Surge (>= 2.0x)
RES000058,Indian Chain 58,Chain,Indian,-73.392921,5.111433,Osaka,Japan,1997,True,False,False,True,1,3.7,124,Operational,6.47,3.25,0.81,70,78,2.42,19.4,0.079,False,True,False,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.042054999999999995,0.021124999999999998,0.005265,0.10177309999999999,0.059718099999999996,142.0,Critical Surge (>= 2.0x)
RES000059,Rio de Janeiro Italian Place 59,Local,Italian,60.57465,61.101391,Rio de Janeiro,Brazil,1950,True,False,False,True,2,4.6,4548,Operational,5.0,1.29,0.59,20,27,1.4,22.09,0.002,True,False,True,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,0.8999999999999999,0.2322,0.10619999999999999,1.2599999999999998,0.3599999999999999,39.99999999999999,Moderate Surge (1.1x - 1.49x)
RES000060,Osaka Mediterranean Place 60,Local,Mediterranean,-16.261997,-153.408534,Osaka,Japan,1968,True,False,False,True,2,4.7,4276,Operational,7.69,1.19,0.85,20,26,1.74,0.29,0.025,False,False,False,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.049985,0.007735,0.0055249999999999995,0.0869739,0.036988900000000005,74.0,High Surge (1.5x - 1.99x)
RES000061,Manchester American Place 61,Local,American,89.144291,-119.615056,Manchester,United Kingdom,2002,True,False,False,False,1,4.9,2263,Operational,2.3,0.81,1.0,63,66,2.41,15.86,0.038,False,True,False,552000,115.0,4800,0.8,35000,75,Oceanic,11.14,0.585,0.85,GBP,Europe,1.28,2.944,1.0368000000000002,1.28,7.09504,4.15104,141.0,Critical Surge (>= 2.0x)
RES000062,Mumbai Italian Place 62,Local,Italian,-81.616657,63.59683,Mumbai,India,1951,True,True,False,False,3,3.8,2150,Operational,7.16,0.09,0.74,85,95,1.68,11.4,0.063,False,False,True,12442000,603.0,20633,0.9,15000,40,Tropical wet and dry,43.76,0.907,0.779,INR,Asia,0.012,0.08592000000000001,0.00108,0.00888,0.14434560000000002,0.05842560000000001,68.0,High Surge (1.5x - 1.99x)
RES000064,Rio de Janeiro Japanese Place 64,Local,Japanese,86.662811,3.884244,Rio de Janeiro,Brazil,1978,True,True,False,True,4,3.7,4966,Operational,8.22,0.86,1.9,19,24,1.99,6.52,0.081,False,True,True,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,1.4796,0.1548,0.34199999999999997,2.944404,1.464804,99.0,High Surge (1.5x - 1.99x)
RES000065,Los Angeles Italian Place 65,Local,Italian,25.536966,-179.063826,Los Angeles,USA,2023,True,False,False,True,4,5.0,232,Operational,0.03,4.42,0.09,73,83,2.02,23.0,0.065,True,False,True,3898000,1302.0,2990,1.1,75000,95,Mediterranean,23.33,0.526,0.849,USD,North America,1.0,0.03,4.42,0.09,0.0606,0.030600000000000002,102.0,Critical Surge (>= 2.0x)
RES000067,Tokyo Thai Place 67,Local,Thai,18.558286,141.242308,Tokyo,Japan,1986,True,False,False,True,4,2.9,3187,Operational,8.76,2.19,1.85,28,26,2.13,0.12,0.015,True,False,True,13929000,2194.0,6349,1.4,45000,85,Humid subtropical,43.11,0.547,0.778,JPY,Asia,0.0065,0.05694,0.014235,0.012025,0.12128219999999999,0.06434219999999999,112.99999999999999,Critical Surge (>= 2.0x)
RES000068,Osaka French Place 68,Local,French,15.277758,-29.802721,Osaka,Japan,1992,True,True,True,False,1,3.9,4152,Operational,4.4,1.23,0.85,61,71,2.13,24.47,0.037,True,False,True,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.0286,0.007995,0.0055249999999999995,0.060918,0.032318,112.99999999999999,Critical Surge (>= 2.0x)
RES000069,Italian Chain 69,Chain,Italian,22.325188,164.038198,New York,USA,1988,True,False,False,True,4,3.0,3682,Closed Temporarily,7.97,3.98,1.6,57,67,2.27,2.65,0.077,True,False,False,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,7.97,3.98,1.6,18.0919,10.1219,127.0,Critical Surge (>= 2.0x)
RES000071,Rio de Janeiro Chinese Place 71,Local,Chinese,-86.753007,23.374352,Rio de Janeiro,Brazil,2023,True,False,True,False,1,4.3,4876,Operational,6.29,3.52,0.52,37,41,2.43,9.85,0.034,False,False,True,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,1.1321999999999999,0.6335999999999999,0.0936,2.751246,1.6190460000000002,143.00000000000003,Critical Surge (>= 2.0x)
RES000073,Sao Paulo Mediterranean Place 73,Local,Mediterranean,24.09671,-50.884428,Sao Paulo,Brazil,2018,True,False,True,False,3,3.1,3867,Operational,7.46,2.19,0.4,67,69,1.58,19.07,0.088,True,False,True,12325000,1521.0,8100,0.8,12000,50,Humid subtropical,17.87,0.811,0.692,BRL,South America,0.18,1.3428,0.3942,0.072,2.121624,0.7788240000000002,58.00000000000001,High Surge (1.5x - 1.99x)
RES000074,Tokyo Japanese Place 74,Local,Japanese,-0.019536,113.437859,Tokyo,Japan,1955,True,True,True,False,1,3.8,505,Operational,3.85,0.47,1.86,46,44,1.97,17.82,0.013,False,False,True,13929000,2194.0,6349,1.4,45000,85,Humid subtropical,43.11,0.547,0.778,JPY,Asia,0.0065,0.025025,0.0030549999999999996,0.01209,0.049299249999999996,0.024274249999999997,97.0,High Surge (1.5x - 1.99x)
RES000076,Osaka Brazilian Place 76,Local,Brazilian,79.355086,93.335164,Osaka,Japan,2006,True,True,False,True,3,4.3,1642,Operational,8.2,2.89,0.98,32,37,1.29,1.57,0.056,True,True,True,2691000,223.0,12067,1.0,40000,80,Humid subtropical,6.53,0.984,0.835,JPY,Asia,0.0065,0.05329999999999999,0.018785,0.00637,0.068757,0.015457000000000005,29.000000000000004,Moderate Surge (1.1x - 1.49x)
RES000078,Mexican Chain 78,Chain,Mexican,-4.319207,28.776702,New York,USA,1962,True,True,True,True,3,3.4,1325,Operational,4.45,1.59,0.08,28,31,1.94,9.63,0.047,True,False,True,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,4.45,1.59,0.08,8.633000000000001,4.183000000000001,94.0,High Surge (1.5x - 1.99x)
RES000080,New York Burger Place 80,Local,Burger,-0.042976,-8.028944,New York,USA,1998,True,True,True,True,4,3.6,2672,Operational,8.43,4.62,1.34,25,20,2.23,8.69,0.073,False,False,False,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,8.43,4.62,1.34,18.7989,10.3689,123.0,Critical Surge (>= 2.0x)
RES000081,Rio de Janeiro Indian Place 81,Local,Indian,13.89968,-112.812795,Rio de Janeiro,Brazil,1978,True,False,True,False,4,3.3,1653,Operational,8.2,1.44,0.94,43,51,1.83,2.36,0.074,True,True,True,6747000,1200.0,5622,1.2,11000,55,Tropical savanna,30.89,0.546,0.62,BRL,South America,0.18,1.4759999999999998,0.2592,0.1692,2.7010799999999997,1.22508,83.0,High Surge (1.5x - 1.99x)
RES000082,Indian Chain 82,Chain,Indian,26.601895,35.45595,Sao Paulo,Brazil,1959,True,False,False,False,1,3.7,2342,Operational,9.14,3.21,1.21,48,57,1.26,22.35,0.083,True,True,False,12325000,1521.0,8100,0.8,12000,50,Humid subtropical,17.87,0.811,0.692,BRL,South America,0.18,1.6452,0.5778,0.2178,2.072952,0.4277519999999999,26.0,Moderate Surge (1.1x - 1.49x)
RES000083,New York Thai Place 83,Local,Thai,72.967967,9.147763,New York,USA,1991,True,False,True,False,4,3.5,4688,Operational,5.1,2.84,0.04,86,95,2.18,12.45,0.011,False,True,True,8419000,783.8,10700,1.2,85000,100,Humid subtropical,45.77,0.991,0.866,USD,North America,1.0,5.1,2.84,0.04,11.118,6.018000000000001,118.00000000000001,Critical Surge (>= 2.0x)
RES000084,Tokyo Indian Place 84,Local,Indian,73.647249,61.433431,Tokyo,Japan,1999,True,False,False,False,4,4.7,1827,Operational,2.7,2.77,1.79,43,49,1.97,5.96,0.011,False,False,True,13929000,2194.0,6349,1.4,45000,85,Humid subtropical,43.11,0.547,0.778,JPY,Asia,0.0065,0.01755,0.018005,0.011635,0.0345735,0.0170235,97.0,High Surge (1.5x - 1.99x)
RES000089,London Burger Place 89,Local,Burger,30.882104,121.3909,London,United Kingdom,2016,True,False,False,False,4,2.4,1101,Closed Temporarily,6.14,2.41,0.55,15,22,1.04,13.85,0.047,True,True,False,8982000,1572.0,5700,1.3,50000,90,Oceanic,8.54,0.837,0.979,GBP,Europe,1.28,7.8591999999999995,3.0848000000000004,0.7040000000000001,8.173568,0.314368,4.0000000000000036,Baseline (< 1.1x)
