Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Popularity_score,Estimated_value_score,Average_menu_price,Delivery_fee,Average_delivery_time,Cancellation_rate,24_hours,Drive_through,Cost_of_living_index,Average_income,Urban_density,Currency,Region,Is_Sponsored,Visibility_Index,Ad_Rating_Integrity,Estimated_Ad_ROI,Performance_Quadrant
RES000015,Los Angeles Chinese Place 15,Local,Chinese,-6.768773,-60.106615,Los Angeles,USA,1950,False,True,False,False,2,4.5,3508,Operational,34.6,3.4,51.89,,,,False,False,95,75000,2990,USD,North America,False,65.22009838747022,2.7283725777273373,14.674522137180798,"Hidden Gem (Low Vis, High Rating)"
RES000016,Pizza Chain 16,Chain,Pizza,55.716595,103.576415,Rio de Janeiro,Brazil,2020,True,False,False,False,3,2.2,1789,Operational,55.4,7.9,67.58,2.5,82.0,0.083,False,False,55,11000,5622,BRL,South America,True,71.6686811920827,1.211735494131576,5.255703287419398,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000017,London Japanese Place 17,Local,Japanese,-7.261116,50.226226,London,United Kingdom,2013,True,False,False,True,4,4.8,891,Operational,92.9,4.0,94.59,4.79,69.0,0.076,True,True,90,50000,5700,GBP,Europe,False,86.32996089799089,2.3851934646278696,10.359595307758905,"Market Leader (High Vis, High Rating)"
RES000018,Manchester Pizza Place 18,Local,Pizza,-39.169714,68.985411,Manchester,United Kingdom,2007,True,True,False,True,2,5.0,3782,Operational,32.2,5.1,47.54,4.17,74.0,0.091,True,False,75,35000,4800,GBP,Europe,False,64.46146728718304,3.076331567534336,16.11536682179576,"Hidden Gem (Low Vis, High Rating)"
RES000019,Rio de Janeiro Mediterranean Place 19,Local,Mediterranean,73.173845,-2.805527,Rio de Janeiro,Brazil,1951,True,True,True,False,1,2.7,2151,Operational,26.1,4.3,23.52,1.28,14.0,0.023,True,True,55,11000,5622,BRL,South America,False,58.09989241915696,1.7335393356104338,15.68697095317238,"Struggling Organic (Low Vis, Low Rating)"
RES000020,Burger Chain 20,Chain,Burger,89.228332,11.734299,Rio de Janeiro,Brazil,2023,True,False,False,True,1,3.4,511,Operational,30.8,4.6,24.24,9.53,91.0,0.038,True,False,55,11000,5622,BRL,South America,False,52.02109109846499,2.110935675889234,17.687170973478096,"Struggling Organic (Low Vis, Low Rating)"
RES000021,Chinese Chain 21,Chain,Chinese,-12.671637,-123.163857,London,United Kingdom,1950,True,False,False,True,4,4.5,1812,Operational,23.0,4.3,91.17,0.06,25.0,0.096,False,False,90,50000,5700,GBP,Europe,True,55.543629663188234,2.9634235694681017,6.248658337108677,"Hidden Gem (Low Vis, High Rating)"
RES000022,Tokyo Burger Place 22,Local,Burger,-59.249298,46.950364,Tokyo,Japan,1962,False,False,True,False,4,3.5,1168,Operational,76.5,2.4,90.82,,,,True,True,85,45000,6349,JPY,Asia,False,79.71752309835722,1.8069028886811036,6.975283271106257,"Market Leader (High Vis, High Rating)"
RES000023,Delhi Mediterranean Place 23,Local,Mediterranean,70.184968,-163.987881,Delhi,India,2012,False,True,True,True,1,3.6,3326,Operational,2.1,9.4,21.12,,,,True,False,38,14000,11312,INR,Asia,False,48.65744345600914,3.3247586259388413,17.51667964416329,"Hidden Gem (Low Vis, High Rating)"
RES000024,Mumbai Chinese Place 24,Local,Chinese,67.448729,-20.20856,Mumbai,India,2007,False,False,True,True,2,2.4,4477,Operational,85.5,6.2,36.17,,,,True,False,40,15000,20633,INR,Asia,False,92.10155409620592,1.2121191481003948,11.05218649154471,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000025,Mexican Chain 25,Chain,Mexican,38.540015,-36.149351,Osaka,Japan,1980,True,True,True,False,2,3.4,1257,Operational,75.5,1.6,32.54,6.11,23.0,0.025,False,False,80,40000,12067,JPY,Asia,False,79.64825627170967,1.7598652347369867,13.540203566190645,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000026,Burger Chain 26,Chain,Burger,-41.769467,-77.311211,Los Angeles,USA,2000,True,False,False,False,4,4.9,4459,Operational,41.8,2.9,58.32,3.14,73.0,0.072,True,True,95,75000,2990,USD,North America,False,70.22790981876369,2.858259895533862,8.602918952798552,"Market Leader (High Vis, High Rating)"
RES000027,Los Angeles Mexican Place 27,Local,Mexican,26.572574,-121.222318,Los Angeles,USA,2005,True,True,True,True,2,4.9,873,Operational,78.5,6.1,49.39,4.58,100.0,0.045,False,True,95,75000,2990,USD,North America,False,79.0102895589192,2.5167656776377143,19.357520941935203,"Market Leader (High Vis, High Rating)"
RES000028,American Chain 28,Chain,American,72.655715,-72.936624,Manchester,United Kingdom,2004,True,False,False,False,3,4.2,1794,Operational,99.3,2.2,62.89,5.74,25.0,0.036,False,False,75,35000,4800,GBP,Europe,True,93.63505593275417,2.060217042091445,13.108907830585585,"Market Leader (High Vis, High Rating)"
RES000029,Osaka Italian Place 29,Local,Italian,-41.037565,-153.804078,Osaka,Japan,2000,True,True,True,True,3,2.1,2694,Operational,68.9,0.7,71.2,8.02,86.0,0.082,False,True,80,40000,12067,JPY,Asia,False,80.82072238164147,1.106966136033108,5.657450566714903,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000030,Delhi Brazilian Place 30,Local,Brazilian,2.789143,9.075067,Delhi,India,1960,True,True,False,False,2,3.0,3241,Operational,25.9,1.2,39.59,5.82,24.0,0.017,False,False,38,14000,11312,INR,Asia,False,60.405515670112734,1.9291432766303205,9.060827350516911,"Struggling Organic (Low Vis, Low Rating)"
RES000031,Delhi Burger Place 31,Local,Burger,-87.86337,-100.461958,Delhi,India,1991,False,False,True,False,2,4.6,3706,Operational,66.5,7.1,39.88,,,,False,True,38,14000,11312,INR,Asia,False,81.49233211827715,2.4420524379556867,18.743236387203744,"Market Leader (High Vis, High Rating)"
RES000032,Japanese Chain 32,Chain,Japanese,68.017251,-135.740968,Tokyo,Japan,2015,True,False,True,False,3,4.6,3404,Operational,60.0,4.1,73.38,6.46,62.0,0.05,True,False,85,45000,6349,JPY,Asia,True,77.74348239479443,2.4930924537562547,11.920667300535145,"Market Leader (High Vis, High Rating)"
RES000033,Sao Paulo Brazilian Place 33,Local,Brazilian,-63.710917,-162.204457,Sao Paulo,Brazil,2002,True,False,False,False,2,2.6,4639,Operational,87.3,4.5,43.36,6.97,80.0,0.009,True,False,50,12000,8100,BRL,South America,False,93.21017337293986,1.3077728523945638,12.117322538482181,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000034,Sao Paulo French Place 34,Local,French,57.908244,-50.71909,Sao Paulo,Brazil,1992,True,True,True,True,4,2.4,4427,Operational,86.9,8.2,85.77,7.3,22.0,0.015,False,False,50,12000,8100,BRL,South America,False,92.73563895583263,1.208262231831836,5.5641383373499576,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000035,London Japanese Place 35,Local,Japanese,-78.587184,76.641422,London,United Kingdom,2017,False,True,False,False,4,3.7,4382,Operational,61.5,7.5,92.65,,,,False,True,90,50000,5700,GBP,Europe,True,79.97567581215627,1.9953556298647466,7.397750012624455,"Market Leader (High Vis, High Rating)"
RES000036,Rio de Janeiro French Place 36,Local,French,-13.975236,162.348224,Rio de Janeiro,Brazil,1988,True,True,False,False,4,2.3,4829,Operational,1.5,2.1,66.71,8.57,70.0,0.009,False,True,55,11000,5622,BRL,South America,True,50.545762482298976,2.168383787067233,2.9063813427321907,"Struggling Organic (Low Vis, Low Rating)"
RES000037,Italian Chain 37,Chain,Italian,64.175027,-174.784093,Rio de Janeiro,Brazil,1974,True,False,False,False,4,2.2,3983,Operational,69.3,1.9,109.36,0.87,68.0,0.067,False,False,55,11000,5622,BRL,South America,False,83.31536892134251,1.1583378392800465,4.582345290673838,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000038,London Thai Place 38,Local,Thai,29.468294,-37.989395,London,United Kingdom,1961,False,True,False,False,2,2.1,861,Operational,91.9,2.2,52.61,,,,False,False,90,50000,5700,GBP,Europe,False,85.62913148206633,1.0457260215398128,8.991058805616964,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000039,French Chain 39,Chain,French,-30.786774,-175.885342,Sao Paulo,Brazil,1991,False,True,False,True,1,2.5,1728,Operational,36.8,5.3,21.59,,,,False,False,50,12000,8100,BRL,South America,True,62.16514231314579,1.496785635119941,15.541285578286448,"Struggling Organic (Low Vis, Low Rating)"
RES000040,Mumbai Thai Place 40,Local,Thai,-47.105137,63.125573,Mumbai,India,1997,False,True,False,True,1,3.9,3480,Operational,17.4,4.8,20.62,,,,False,True,40,15000,20633,INR,Asia,False,56.57306822454042,2.7125706647956362,22.063496607570762,"Hidden Gem (Low Vis, High Rating)"
RES000041,Manchester French Place 41,Local,French,20.086165,-162.576135,Manchester,United Kingdom,1982,True,True,False,True,1,3.5,3919,Operational,86.8,6.1,25.5,1.1,24.0,0.036,True,True,75,35000,4800,GBP,Europe,False,91.97030059706739,1.762446966834723,32.18960520897359,"Market Leader (High Vis, High Rating)"
RES000042,Delhi American Place 42,Local,American,-21.90693,-173.535476,Delhi,India,1965,True,False,True,True,2,3.5,3891,Operational,2.9,8.0,33.64,2.41,83.0,0.094,True,True,38,14000,11312,INR,Asia,True,49.978219121348594,3.1514788652750285,8.746188346236003,"Hidden Gem (Low Vis, High Rating)"
RES000043,Mumbai Thai Place 43,Local,Thai,54.619859,-158.187111,Mumbai,India,1960,True,False,False,False,4,5.0,428,Operational,56.2,8.7,72.44,2.37,46.0,0.063,True,True,40,15000,20633,INR,Asia,False,63.68281740044557,2.7459582400155,7.9603521750556965,"Hidden Gem (Low Vis, High Rating)"
RES000044,Brazilian Chain 44,Chain,Brazilian,-51.050984,149.155581,New York,USA,2002,True,True,False,False,4,4.3,108,Operational,54.3,8.4,74.46,9.1,43.0,0.076,True,False,100,85000,10700,USD,North America,True,54.68981052542874,2.378041093869749,5.879154631483589,"Hidden Gem (Low Vis, High Rating)"
RES000045,Manchester American Place 45,Local,American,-69.582118,-127.036167,Manchester,United Kingdom,2004,True,False,True,True,4,3.8,3714,Closed Temporarily,18.7,9.3,105.12,0.39,24.0,0.051,False,True,75,35000,4800,GBP,Europe,False,57.60498712878177,2.6065211513449187,5.472473777234268,"Hidden Gem (Low Vis, High Rating)"
RES000046,New York Japanese Place 46,Local,Japanese,40.191584,160.246385,New York,USA,2000,True,True,True,False,2,3.9,4639,Operational,40.0,0.8,62.31,3.07,76.0,0.052,True,True,100,85000,10700,USD,North America,False,69.56017337293987,2.295508449264338,13.564233807723275,"Market Leader (High Vis, High Rating)"
RES000047,New York Burger Place 47,Local,Burger,-58.579879,77.856411,New York,USA,1985,True,False,False,True,4,3.9,214,Operational,83.9,6.7,86.06,6.73,62.0,0.1,False,False,100,85000,10700,USD,North America,False,73.47747513258786,1.977020340036373,7.164053825427315,"Market Leader (High Vis, High Rating)"
RES000048,Mumbai Pizza Place 48,Local,Pizza,70.507769,-116.169831,Mumbai,India,2018,True,True,False,True,1,3.4,221,Operational,10.0,0.5,23.67,9.72,42.0,0.07,True,False,40,15000,20633,INR,Asia,False,36.71555705565869,2.6133140752568185,12.483289398923954,"Struggling Organic (Low Vis, Low Rating)"
RES000049,Manchester Mexican Place 49,Local,Mexican,4.778616,152.150588,Manchester,United Kingdom,2000,True,False,False,True,2,4.5,3652,Operational,78.5,8.9,41.65,2.61,84.0,0.053,True,False,75,35000,4800,GBP,Europe,True,87.40618970322055,2.311315418238717,19.666392683224622,"Market Leader (High Vis, High Rating)"
RES000050,Tokyo Japanese Place 50,Local,Japanese,11.744267,-174.119012,Tokyo,Japan,2011,True,True,False,True,4,4.8,3395,Operational,6.9,8.2,77.0,9.19,92.0,0.09,True,False,85,45000,6349,JPY,Asia,False,51.17794553334451,3.9091554472936574,6.141353464001341,"Hidden Gem (Low Vis, High Rating)"
RES000051,Tokyo Italian Place 51,Local,Italian,66.863704,144.487787,Tokyo,Japan,1959,False,False,True,True,2,3.1,3544,Operational,23.4,3.6,41.86,,,,False,False,85,45000,6349,JPY,Asia,False,59.68001732732415,2.0344591882708296,9.250402685735244,"Struggling Organic (Low Vis, Low Rating)"
RES000052,Los Angeles French Place 52,Local,French,20.228047,46.384744,Los Angeles,USA,2013,True,False,False,False,3,3.0,1936,Operational,30.6,1.6,63.3,8.4,45.0,0.043,False,True,95,75000,2990,USD,North America,True,59.7319964517154,1.8650615143158815,5.9731996451715395,"Struggling Organic (Low Vis, Low Rating)"
RES000053,Mediterranean Chain 53,Chain,Mediterranean,-5.010094,177.255666,Osaka,Japan,1969,True,False,False,False,4,4.4,1215,Operational,36.9,3.2,90.01,6.77,86.0,0.061,True,False,80,40000,12067,JPY,Asia,False,60.14892078225371,2.632881463566335,6.6163812860479085,"Hidden Gem (Low Vis, High Rating)"
RES000054,Osaka French Place 54,Local,French,-60.430337,148.072093,Osaka,Japan,1971,True,True,True,True,3,4.0,1098,Operational,19.4,4.1,81.3,9.8,80.0,0.018,True,True,80,40000,12067,JPY,Asia,False,50.80504125781209,2.7241511031842998,6.7740055010416125,"Hidden Gem (Low Vis, High Rating)"
RES000055,Delhi Burger Place 55,Local,Burger,47.076771,-141.086005,Delhi,India,1982,True,True,True,False,2,2.7,1841,Operational,25.2,2.4,46.15,5.78,73.0,0.078,False,True,38,14000,11312,INR,Asia,False,56.73678613572053,1.7458296261467343,7.659466128322272,"Struggling Organic (Low Vis, Low Rating)"
RES000056,Los Angeles Mediterranean Place 56,Local,Mediterranean,-64.662384,20.675515,Los Angeles,USA,1984,True,False,False,False,3,2.9,1970,Operational,26.4,9.8,64.7,8.98,72.0,0.094,False,True,95,75000,2990,USD,North America,True,57.7341441593269,1.8576628208613104,5.580967268734934,"Struggling Organic (Low Vis, Low Rating)"
RES000057,Tokyo Indian Place 57,Local,Indian,-26.185224,138.479371,Tokyo,Japan,1965,False,True,True,True,3,4.2,1200,Operational,64.4,5.1,73.58,,,,False,False,85,45000,6349,JPY,Asia,False,73.82605670168164,2.244101696616484,10.33564793823543,"Market Leader (High Vis, High Rating)"
RES000058,Indian Chain 58,Chain,Indian,-73.392921,5.111433,Osaka,Japan,1997,True,False,False,True,1,3.7,124,Operational,21.8,4.1,23.33,6.47,78.0,0.079,True,False,80,40000,12067,JPY,Asia,False,39.24384676231846,2.462681850443659,14.520223302057833,"Hidden Gem (Low Vis, High Rating)"
RES000059,Rio de Janeiro Italian Place 59,Local,Italian,60.57465,61.101391,Rio de Janeiro,Brazil,1950,True,False,False,True,2,4.6,4548,Operational,54.9,7.3,40.96,5.0,27.0,0.002,False,True,55,11000,5622,BRL,South America,False,76.89389990022546,2.538288570037802,17.685596977051855,"Market Leader (High Vis, High Rating)"
RES000060,Osaka Mediterranean Place 60,Local,Mediterranean,-16.261997,-153.408534,Osaka,Japan,1968,True,False,False,True,2,4.7,4276,Operational,49.0,0.8,40.08,7.69,26.0,0.025,False,False,80,40000,12067,JPY,Asia,False,73.58196052451373,2.6540896523824156,17.29176072326073,"Market Leader (High Vis, High Rating)"
RES000061,Manchester American Place 61,Local,American,89.144291,-119.615056,Manchester,United Kingdom,2002,True,False,False,False,1,4.9,2263,Operational,79.9,5.1,27.56,2.3,66.0,0.038,True,False,75,35000,4800,GBP,Europe,False,85.29772719688947,2.507984999758639,41.79588632647584,"Market Leader (High Vis, High Rating)"
RES000062,Mumbai Italian Place 62,Local,Italian,-81.616657,63.59683,Mumbai,India,1951,True,True,False,False,3,3.8,2150,Operational,9.4,3.0,70.04,7.16,95.0,0.063,False,True,40,15000,20633,INR,Asia,False,49.74716393166912,2.9507647890843307,6.301307431344755,"Hidden Gem (Low Vis, High Rating)"
RES000063,Rio de Janeiro Indian Place 63,Local,Indian,14.82394,-64.416572,Rio de Janeiro,Brazil,1952,False,False,True,False,4,3.2,1949,Operational,70.4,4.2,84.51,,,,False,True,55,11000,5622,BRL,South America,True,79.67126309126213,1.6795642780412936,6.373701047300971,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000064,Rio de Janeiro Japanese Place 64,Local,Japanese,86.662811,3.884244,Rio de Janeiro,Brazil,1978,True,True,False,True,4,3.7,4966,Operational,38.0,7.0,85.1,8.22,24.0,0.081,True,True,55,11000,5622,BRL,South America,True,68.9599533790782,2.2007549646924494,6.378795687564734,"Hidden Gem (Low Vis, High Rating)"
RES000065,Los Angeles Italian Place 65,Local,Italian,25.536966,-179.063826,Los Angeles,USA,2023,True,False,False,True,4,5.0,232,Operational,43.0,0.4,113.39,0.03,83.0,0.065,False,True,95,75000,2990,USD,North America,False,53.49945302429674,2.899768005892015,6.687431628037092,"Hidden Gem (Low Vis, High Rating)"
RES000066,London Mexican Place 66,Local,Mexican,-27.111643,-177.049064,London,United Kingdom,1965,False,True,False,False,3,3.6,2270,Operational,48.6,4.8,57.58,,,,False,True,90,50000,5700,GBP,Europe,False,69.66584954207393,2.0363170171066978,8.359901945048872,"Market Leader (High Vis, High Rating)"
RES000067,Tokyo Thai Place 67,Local,Thai,18.558286,141.242308,Tokyo,Japan,1986,True,False,False,True,4,2.9,3187,Operational,48.5,8.5,70.89,8.76,26.0,0.015,False,True,85,45000,6349,JPY,Asia,False,71.60691353887688,1.6410550170819722,5.191501231568574,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000068,Osaka French Place 68,Local,French,15.277758,-29.802721,Osaka,Japan,1992,True,True,True,False,1,3.9,4152,Operational,81.3,5.5,24.27,4.4,71.0,0.037,False,True,80,40000,12067,JPY,Asia,False,89.55925002492754,1.989318098842087,34.92810750972174,"Market Leader (High Vis, High Rating)"
RES000069,Italian Chain 69,Chain,Italian,22.325188,164.038198,New York,USA,1988,True,False,False,True,4,3.0,3682,Closed Temporarily,55.6,0.8,84.92,7.97,67.0,0.077,False,False,100,85000,10700,USD,North America,True,76.00420257221215,1.6511605815258144,5.7003151929159115,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000070,Thai Chain 70,Chain,Thai,83.118435,93.996191,New York,USA,2000,False,True,True,False,3,3.2,4183,Operational,56.6,7.2,80.67,,,,False,True,100,85000,10700,USD,North America,True,77.25290635242314,1.754891815200499,8.240310010925135,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000071,Rio de Janeiro Chinese Place 71,Local,Chinese,-86.753007,23.374352,Rio de Janeiro,Brazil,2023,True,False,True,False,1,4.3,4876,Operational,98.3,9.2,24.89,6.29,41.0,0.034,False,True,55,11000,5622,BRL,South America,False,99.00260974101147,2.113407971857464,42.57112218863493,"Market Leader (High Vis, High Rating)"
RES000072,New York Brazilian Place 72,Local,Brazilian,-37.575515,172.344423,New York,USA,2021,False,False,True,False,1,4.1,2487,Operational,70.6,1.3,22.1,,,,False,True,100,85000,10700,USD,North America,False,81.20157044820598,2.1507237238411925,33.292643883764455,"Market Leader (High Vis, High Rating)"
RES000073,Sao Paulo Mediterranean Place 73,Local,Mediterranean,24.09671,-50.884428,Sao Paulo,Brazil,2018,True,False,True,False,3,3.1,3867,Operational,3.4,2.7,71.88,7.46,69.0,0.088,False,True,50,12000,8100,BRL,South America,False,50.19190761964719,2.7504097263159992,5.186497120696876,"Struggling Organic (Low Vis, Low Rating)"
RES000074,Tokyo Japanese Place 74,Local,Japanese,-0.019536,113.437859,Tokyo,Japan,1955,True,True,True,False,1,3.8,505,Operational,56.5,4.7,23.21,3.85,44.0,0.013,False,True,85,45000,6349,JPY,Asia,False,64.80189178175624,2.084680094616785,24.62471887706737,"Hidden Gem (Low Vis, High Rating)"
RES000075,Chinese Chain 75,Chain,Chinese,-81.008803,122.118162,Tokyo,Japan,1958,False,False,True,True,3,4.9,4685,Operational,5.7,2.2,58.91,,,,True,True,85,45000,6349,JPY,Asia,True,52.46808413066175,4.09733374378742,8.569787074674753,"Hidden Gem (Low Vis, High Rating)"
RES000076,Osaka Brazilian Place 76,Local,Brazilian,79.355086,93.335164,Osaka,Japan,2006,True,True,False,True,3,4.3,1642,Operational,3.4,5.6,74.75,8.2,37.0,0.056,True,True,80,40000,12067,JPY,Asia,True,45.16564124151966,3.8150844590834825,6.473741911284484,"Hidden Gem (Low Vis, High Rating)"
RES000077,Tokyo Burger Place 77,Local,Burger,-34.854568,104.377703,Tokyo,Japan,1960,False,False,True,False,2,2.9,884,Operational,98.3,2.1,41.95,,,,True,True,85,45000,6349,JPY,Asia,True,88.98371149154974,1.4253216554387547,12.902638166274713,"Over-Promoted / Low Quality (High Vis, Low Rating)"
RES000078,Mexican Chain 78,Chain,Mexican,-4.319207,28.776702,New York,USA,1962,True,True,True,True,3,3.4,1325,Operational,19.0,9.3,62.78,4.45,31.0,0.047,False,True,100,85000,10700,USD,North America,True,51.707292924274185,2.324948478379223,5.860159864751074,"Struggling Organic (Low Vis, Low Rating)"
RES000079,Rio de Janeiro Japanese Place 79,Local,Japanese,-76.93337,96.093899,Rio de Janeiro,Brazil,1982,False,True,False,False,2,2.2,1294,Operational,36.5,1.3,55.27,,,,True,False,55,11000,5622,BRL,South America,False,60.318422989917096,1.3193775549631308,6.635026528890881,"Struggling Organic (Low Vis, Low Rating)"
RES000080,New York Burger Place 80,Local,Burger,-0.042976,-8.028944,New York,USA,1998,True,True,True,True,4,3.6,2672,Operational,99.7,9.5,101.8,8.43,20.0,0.073,False,False,100,85000,10700,USD,North America,True,96.17260456531427,1.764527156878952,8.655534410878285,"Market Leader (High Vis, High Rating)"
RES000081,Rio de Janeiro Indian Place 81,Local,Indian,13.89968,-112.812795,Rio de Janeiro,Brazil,1978,True,False,True,False,4,3.3,1653,Operational,16.8,2.5,98.2,8.2,51.0,0.074,True,True,55,11000,5622,BRL,South America,False,51.90481260188822,2.310706253917848,4.2821470396557775,"Struggling Organic (Low Vis, Low Rating)"
RES000082,Indian Chain 82,Chain,Indian,26.601895,35.45595,Sao Paulo,Brazil,1959,True,False,False,False,1,3.7,2342,Operational,6.8,2.8,27.81,9.14,57.0,0.083,True,False,50,12000,8100,BRL,South America,False,48.949074008610076,3.0196457785649886,18.11115738318573,"Hidden Gem (Low Vis, High Rating)"
RES000083,New York Thai Place 83,Local,Thai,72.967967,9.147763,New York,USA,1991,True,False,True,False,4,3.5,4688,Operational,24.9,4.5,93.64,5.1,95.0,0.011,True,True,100,85000,10700,USD,North America,False,62.07184114885361,2.2685651525061385,5.431286100524691,"Hidden Gem (Low Vis, High Rating)"
