Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Average_menu_price,Popularity_score,Estimated_value_score,Delivery_fee,Service_fee,Packaging_fee,Minimum_order,Average_delivery_time,Cancellation_rate,WiFi,24_hours,Drive_through,Cost_of_living_index,Average_income,Urban_density,Currency,Region,FX_Rate,Average_menu_price_USD,Delivery_fee_USD,Service_fee_USD,Minimum_order_USD,Average_menu_price_PPP,Membership_Status,Customer_Loyalty_Index,Est_Total_Order_Cost_USD,Price_Transparency_Ratio
RES000010,New York Mexican Place 10,Local,Mexican,47.651833,-159.986456,New York,USA,1955,False,True,False,False,1,4.4,3515,Operational,19.12,35.5,8.1,,,,,,,True,True,True,100,85000,10700,USD,North America,1.0,19.12,,,,19.12,Standard Non-Member,69.35907837460387,19.12,4.236401452071053
RES000011,Osaka Japanese Place 11,Local,Japanese,-50.432663,54.882225,Osaka,Japan,2001,True,False,True,True,1,4.6,2510,Operational,25.24,11.2,1.0,9.28,1.82,0.7,20.0,43.0,0.081,False,False,False,80,40000,12067,JPY,Asia,0.0065,0.16405999999999998,0.06031999999999999,0.01183,0.13,0.20507499999999995,Standard Non-Member,59.653353260573226,0.22437999999999997,60.952938236387695
RES000012,Mexican Chain 12,Chain,Mexican,-7.983916,166.02172,Delhi,India,1967,False,True,False,True,3,4.1,3699,Operational,75.67,23.0,9.1,,,,,,,False,False,True,38,14000,11312,INR,Asia,0.012,0.9080400000000001,,,,2.3895789473684212,Standard Non-Member,62.73874193644957,0.9080400000000001,100.21573915715258
RES000013,Italian Chain 13,Chain,Italian,-42.562566,100.414024,Los Angeles,USA,1993,True,False,False,True,4,4.6,2458,Operational,85.92,15.5,5.8,5.25,0.49,1.26,0.01,67.0,0.086,False,True,True,95,75000,2990,USD,North America,1.0,85.92,5.25,0.49,0.01,90.4421052631579,Standard Non-Member,61.29964649424143,91.17,0.6750465470781362
RES000014,Sao Paulo Italian Place 14,Local,Italian,72.756401,100.15703,Sao Paulo,Brazil,2005,False,False,True,True,2,2.5,2577,Operational,43.51,9.7,2.0,,,,,,,True,False,False,50,12000,8100,BRL,South America,0.18,7.831799999999999,,,,15.663599999999999,Standard Non-Member,46.54610285124579,7.831799999999999,2.5536910347951896
RES000015,Los Angeles Chinese Place 15,Local,Chinese,-6.768773,-60.106615,Los Angeles,USA,1950,False,True,False,False,2,4.5,3508,Operational,51.89,34.6,3.4,,,,,,,False,False,False,95,75000,2990,USD,North America,1.0,51.89,,,,54.62105263157895,Standard Non-Member,69.59205903248213,51.89,0.655232209380763
RES000016,Pizza Chain 16,Chain,Pizza,55.716595,103.576415,Rio de Janeiro,Brazil,2020,True,False,False,False,3,2.2,1789,Operational,67.58,55.4,7.9,2.5,4.48,0.83,18.89,82.0,0.083,False,False,False,55,11000,5622,BRL,South America,0.18,12.164399999999999,0.44999999999999996,0.8064,3.4002,22.117090909090905,Membership Partner,61.74120871524963,12.164399999999999,6.494360059323925
RES000017,London Japanese Place 17,Local,Japanese,-7.261116,50.226226,London,United Kingdom,2013,True,False,False,True,4,4.8,891,Operational,94.59,92.9,4.0,4.79,0.74,0.72,23.92,69.0,0.076,False,True,True,90,50000,5700,GBP,Europe,1.28,121.07520000000001,6.1312,0.9472,30.617600000000003,134.528,Standard Non-Member,89.88797653879453,127.2064,0.33037318682626016
RES000018,Manchester Pizza Place 18,Local,Pizza,-39.169714,68.985411,Manchester,United Kingdom,2007,True,True,False,True,2,5.0,3782,Operational,47.54,32.2,5.1,4.17,1.83,1.51,19.27,74.0,0.091,False,True,False,75,35000,4800,GBP,Europe,1.28,60.8512,5.3376,2.3424,24.6656,81.13493333333334,Membership Partner,71.89688037230982,60.8512,0.8381099988478452
RES000019,Rio de Janeiro Mediterranean Place 19,Local,Mediterranean,73.173845,-2.805527,Rio de Janeiro,Brazil,1951,True,True,True,False,1,2.7,2151,Operational,23.52,26.1,4.3,1.28,4.96,0.76,21.61,14.0,0.023,False,True,True,55,11000,5622,BRL,South America,0.18,4.2336,0.2304,0.8927999999999999,3.8897999999999997,7.697454545454545,Standard Non-Member,53.66993545149418,4.464,10.156838114881397
RES000020,Burger Chain 20,Chain,Burger,89.228332,11.734299,Rio de Janeiro,Brazil,2023,True,False,False,True,1,3.4,511,Operational,24.24,30.8,4.6,9.53,2.12,0.98,11.95,91.0,0.038,False,True,False,55,11000,5622,BRL,South America,0.18,4.3632,1.7153999999999998,0.3816,2.151,7.933090909090909,Membership Partner,54.69265465907899,4.3632,10.542718522479253
RES000021,Chinese Chain 21,Chain,Chinese,-12.671637,-123.163857,London,United Kingdom,1950,True,False,False,True,4,4.5,1812,Operational,91.17,23.0,4.3,0.06,1.25,0.04,21.21,25.0,0.096,False,False,False,90,50000,5700,GBP,Europe,1.28,116.69760000000001,0.0768,1.6,27.1488,129.664,Standard Non-Member,62.62617779791294,116.77440000000001,0.3684737272362608
RES000022,Tokyo Burger Place 22,Local,Burger,-59.249298,46.950364,Tokyo,Japan,1962,False,False,True,False,4,3.5,1168,Operational,90.82,76.5,2.4,,,,,,,False,True,True,85,45000,6349,JPY,Asia,0.0065,0.5903299999999999,,,,0.6945058823529411,Standard Non-Member,76.48051385901432,0.5903299999999999,40.655157869059906
RES000023,Delhi Mediterranean Place 23,Local,Mediterranean,70.184968,-163.987881,Delhi,India,2012,False,True,True,True,1,3.6,3326,Operational,21.12,2.1,9.4,,,,,,,False,True,False,38,14000,11312,INR,Asia,0.012,0.25344,,,,0.6669473684210526,Standard Non-Member,51.004466073605485,0.25344,370.8950012034359
RES000024,Mumbai Chinese Place 24,Local,Chinese,67.448729,-20.20856,Mumbai,India,2007,False,False,True,True,2,2.4,4477,Operational,36.17,85.5,6.2,,,,,,,True,True,False,40,15000,20633,INR,Asia,0.012,0.43404000000000004,,,,1.0851000000000002,Standard Non-Member,78.21093245772354,0.43404000000000004,142.84364841109482
RES000025,Mexican Chain 25,Chain,Mexican,38.540015,-36.149351,Osaka,Japan,1980,True,True,True,False,2,3.4,1257,Operational,32.54,75.5,1.6,6.11,2.56,1.33,23.13,23.0,0.025,True,False,False,80,40000,12067,JPY,Asia,0.0065,0.21150999999999998,0.039715,0.01664,0.15034499999999998,0.26438749999999994,Membership Partner,75.73895376302582,0.21150999999999998,75.64618388641728
RES000026,Burger Chain 26,Chain,Burger,-41.769467,-77.311211,Los Angeles,USA,2000,True,False,False,False,4,4.9,4459,Operational,58.32,41.8,2.9,3.14,2.15,1.86,3.26,73.0,0.072,False,True,True,95,75000,2990,USD,North America,1.0,58.32,3.14,2.15,3.26,61.38947368421053,Membership Partner,75.71674589125823,58.32,0.49725650724868814
RES000027,Los Angeles Mexican Place 27,Local,Mexican,26.572574,-121.222318,Los Angeles,USA,2005,True,True,True,True,2,4.9,873,Operational,49.39,78.5,6.1,4.58,3.45,0.93,24.92,100.0,0.045,True,False,True,95,75000,2990,USD,North America,1.0,49.39,4.58,3.45,24.92,51.98947368421053,Membership Partner,84.65617373535153,49.39,1.2350678024890098
RES000028,American Chain 28,Chain,American,72.655715,-72.936624,Manchester,United Kingdom,2004,True,False,False,False,3,4.2,1794,Operational,62.89,99.3,2.2,5.74,1.68,0.56,14.02,25.0,0.036,True,False,False,75,35000,4800,GBP,Europe,1.28,80.4992,7.347200000000001,2.1504,17.9456,107.33226666666667,Membership Partner,91.3110335596525,80.4992,0.27329463804243226
RES000029,Osaka Italian Place 29,Local,Italian,-41.037565,-153.804078,Osaka,Japan,2000,True,True,True,True,3,2.1,2694,Operational,71.2,68.9,0.7,8.02,2.87,1.65,5.89,86.0,0.082,True,False,True,80,40000,12067,JPY,Asia,0.0065,0.4628,0.052129999999999996,0.018655,0.038285,0.5785,Standard Non-Member,67.98243342898489,0.51493,15.125291431954555
RES000030,Delhi Brazilian Place 30,Local,Brazilian,2.789143,9.075067,Delhi,India,1960,True,True,False,False,2,3.0,3241,Operational,39.59,25.9,1.2,5.82,3.29,0.62,14.72,24.0,0.017,True,False,False,38,14000,11312,INR,Asia,0.012,0.47508000000000006,0.06984,0.03948,0.17664000000000002,1.2502105263157897,Membership Partner,56.83330940206764,0.47508000000000006,25.258850596003626
RES000031,Delhi Burger Place 31,Local,Burger,-87.86337,-100.461958,Delhi,India,1991,False,False,True,False,2,4.6,3706,Operational,39.88,66.5,7.1,,,,,,,True,False,True,38,14000,11312,INR,Asia,0.012,0.47856000000000004,,,,1.2593684210526317,Standard Non-Member,83.14539927096628,0.47856000000000004,148.3614419060475
RES000032,Japanese Chain 32,Chain,Japanese,68.017251,-135.740968,Tokyo,Japan,2015,True,False,True,False,3,4.6,3404,Operational,73.38,60.0,4.1,6.46,1.61,1.49,18.2,62.0,0.05,False,True,False,85,45000,6349,JPY,Asia,0.0065,0.47696999999999995,0.04199,0.010465,0.11829999999999999,0.5611411764705883,Membership Partner,80.24608943687664,0.47696999999999995,85.95910443192564
RES000033,Sao Paulo Brazilian Place 33,Local,Brazilian,-63.710917,-162.204457,Sao Paulo,Brazil,2002,True,False,False,False,2,2.6,4639,Operational,43.36,87.3,4.5,6.97,3.91,1.53,7.26,80.0,0.009,False,True,False,50,12000,8100,BRL,South America,0.18,7.804799999999999,1.2546,0.7038,1.3068,15.609599999999999,Membership Partner,80.25610402376392,7.804799999999999,5.765681918091186
RES000034,Sao Paulo French Place 34,Local,French,57.908244,-50.71909,Sao Paulo,Brazil,1992,True,True,True,True,4,2.4,4427,Operational,85.77,86.9,8.2,7.3,2.61,0.1,23.75,22.0,0.015,True,False,False,50,12000,8100,BRL,South America,0.18,15.4386,1.3139999999999998,0.46979999999999994,4.2749999999999995,30.8772,Standard Non-Member,78.7313833734996,16.752599999999997,5.311362085204482
RES000035,London Japanese Place 35,Local,Japanese,-78.587184,76.641422,London,United Kingdom,2017,False,True,False,False,4,3.7,4382,Operational,92.65,61.5,7.5,,,,,,,False,False,True,90,50000,5700,GBP,Europe,1.28,118.59200000000001,,,,131.7688888888889,Standard Non-Member,76.33540548729376,118.59200000000001,0.6324203940196607
RES000036,Rio de Janeiro French Place 36,Local,French,-13.975236,162.348224,Rio de Janeiro,Brazil,1988,True,True,False,False,4,2.3,4829,Operational,66.71,1.5,2.1,8.57,0.34,1.18,5.19,70.0,0.009,True,False,True,55,11000,5622,BRL,South America,0.18,12.007799999999998,1.5426,0.061200000000000004,0.9342,21.832363636363635,Standard Non-Member,44.27745748937939,13.550399999999998,1.7488630932507965
RES000037,Italian Chain 37,Chain,Italian,64.175027,-174.784093,Rio de Janeiro,Brazil,1974,True,False,False,False,4,2.2,3983,Operational,109.36,69.3,1.9,0.87,0.07,0.43,17.28,68.0,0.067,False,False,False,55,11000,5622,BRL,South America,0.18,19.6848,0.1566,0.0126,3.1104000000000003,35.79054545454545,Standard Non-Member,70.11922135280551,19.8414,0.9652116879413717
RES000038,London Thai Place 38,Local,Thai,29.468294,-37.989395,London,United Kingdom,1961,False,True,False,False,2,2.1,861,Operational,52.61,91.9,2.2,,,,,,,False,False,False,90,50000,5700,GBP,Europe,1.28,67.3408,,,,74.82311111111112,Standard Non-Member,73.16747888923982,67.3408,0.3266964406912832
RES000039,French Chain 39,Chain,French,-30.786774,-175.885342,Sao Paulo,Brazil,1991,False,True,False,True,1,2.5,1728,Operational,21.59,36.8,5.3,,,,,,,True,False,False,50,12000,8100,BRL,South America,0.18,3.8861999999999997,,,,7.772399999999998,Standard Non-Member,55.97908538788748,3.8861999999999997,13.637997622871282
RES000040,Mumbai Thai Place 40,Local,Thai,-47.105137,63.125573,Mumbai,India,1997,False,True,False,True,1,3.9,3480,Operational,20.62,17.4,4.8,,,,,,,True,False,True,40,15000,20633,INR,Asia,0.012,0.24744000000000002,,,,0.6186,Standard Non-Member,59.08384093472425,0.24744000000000002,193.98563698012856
RES000041,Manchester French Place 41,Local,French,20.086165,-162.576135,Manchester,United Kingdom,1982,True,True,False,True,1,3.5,3919,Operational,25.5,86.8,6.1,1.1,3.55,0.39,13.38,24.0,0.036,False,True,True,75,35000,4800,GBP,Europe,1.28,32.64,1.4080000000000001,4.544,17.1264,43.52,Standard Non-Member,84.86218035824044,34.048,1.868872491762485
RES000042,Delhi American Place 42,Local,American,-21.90693,-173.535476,Delhi,India,1965,True,False,True,True,2,3.5,3891,Operational,33.64,2.9,8.0,2.41,2.96,0.24,19.72,83.0,0.094,False,True,True,38,14000,11312,INR,Asia,0.012,0.40368000000000004,0.02892,0.03552,0.23664,1.0623157894736843,Membership Partner,51.27693147280915,0.40368000000000004,198.17628275792026
RES000043,Mumbai Thai Place 43,Local,Thai,54.619859,-158.187111,Mumbai,India,1960,True,False,False,False,4,5.0,428,Operational,72.44,56.2,8.7,2.37,3.44,0.48,18.58,46.0,0.063,False,True,True,40,15000,20633,INR,Asia,0.012,0.8692799999999999,0.028440000000000003,0.04128,0.22296,2.1731999999999996,Standard Non-Member,73.82969044026734,0.89772,100.08271203442845
RES000044,Brazilian Chain 44,Chain,Brazilian,-51.050984,149.155581,New York,USA,2002,True,True,False,False,4,4.3,108,Operational,74.46,54.3,8.4,9.1,4.25,1.55,0.36,43.0,0.076,False,True,False,100,85000,10700,USD,North America,1.0,74.46,9.1,4.25,0.36,74.46,Membership Partner,64.04388631525724,74.46,1.1281224667187422
RES000045,Manchester American Place 45,Local,American,-69.582118,-127.036167,Manchester,United Kingdom,2004,True,False,True,True,4,3.8,3714,Closed Temporarily,105.12,18.7,9.3,0.39,2.82,1.31,18.87,24.0,0.051,False,False,True,75,35000,4800,GBP,Europe,1.28,134.55360000000002,0.49920000000000003,3.6096,24.1536,179.40480000000002,Standard Non-Member,59.23299227726906,135.05280000000002,0.6911743670093229
RES000046,New York Japanese Place 46,Local,Japanese,40.191584,160.246385,New York,USA,2000,True,True,True,False,2,3.9,4639,Operational,62.31,40.0,0.8,3.07,3.19,1.77,22.92,76.0,0.052,True,True,True,100,85000,10700,USD,North America,1.0,62.31,3.07,3.19,22.92,62.31,Standard Non-Member,69.13610402376392,65.38,0.12839030447134803
RES000047,New York Burger Place 47,Local,Burger,-58.579879,77.856411,New York,USA,1985,True,False,False,True,4,3.9,214,Operational,86.06,83.9,6.7,6.73,4.97,0.17,14.04,62.0,0.1,True,False,False,100,85000,10700,USD,North America,1.0,86.06,6.73,4.97,14.04,86.06,Standard Non-Member,75.87648507955271,92.79,0.7785266002959957
RES000048,Mumbai Pizza Place 48,Local,Pizza,70.507769,-116.169831,Mumbai,India,2018,True,True,False,True,1,3.4,221,Operational,23.67,10.0,0.5,9.72,0.0,0.27,11.98,42.0,0.07,False,True,False,40,15000,20633,INR,Asia,0.012,0.28404,0.11664000000000001,0.0,0.14376,0.7101000000000001,Standard Non-Member,43.42933423339521,0.40068000000000004,17.603092511292385
RES000049,Manchester Mexican Place 49,Local,Mexican,4.778616,152.150588,Manchester,United Kingdom,2000,True,False,False,True,2,4.5,3652,Operational,41.65,78.5,8.9,2.61,1.67,0.47,11.29,84.0,0.053,True,True,False,75,35000,4800,GBP,Europe,1.28,53.312,3.3407999999999998,2.1376,14.4512,71.08266666666665,Standard Non-Member,87.29371382193233,56.6528,1.669417735792735
RES000050,Tokyo Japanese Place 50,Local,Japanese,11.744267,-174.119012,Tokyo,Japan,2011,True,True,False,True,4,4.8,3395,Operational,77.0,6.9,8.2,9.19,2.87,0.05,9.53,92.0,0.09,True,True,False,85,45000,6349,JPY,Asia,0.0065,0.5005,0.059734999999999996,0.018655,0.06194499999999999,0.5888235294117646,Standard Non-Member,60.1967673200067,0.5602349999999999,163.83583649183518
RES000051,Tokyo Italian Place 51,Local,Italian,66.863704,144.487787,Tokyo,Japan,1959,False,False,True,True,2,3.1,3544,Operational,41.86,23.4,3.6,,,,,,,False,False,False,85,45000,6349,JPY,Asia,0.0065,0.27209,,,,0.3201058823529412,Standard Non-Member,56.74801039639448,0.27209,132.30867614143799
RES000052,Los Angeles French Place 52,Local,French,20.228047,46.384744,Los Angeles,USA,2013,True,False,False,False,3,3.0,1936,Operational,63.3,30.6,1.6,8.4,3.9,0.04,4.11,45.0,0.043,False,False,True,95,75000,2990,USD,North America,1.0,63.3,8.4,3.9,4.11,66.63157894736842,Standard Non-Member,56.899197871029244,71.7,0.2527646089610647
RES000053,Mediterranean Chain 53,Chain,Mediterranean,-5.010094,177.255666,Osaka,Japan,1969,True,False,False,False,4,4.4,1215,Operational,90.01,36.9,3.2,6.77,1.33,1.07,11.05,86.0,0.061,False,True,False,80,40000,12067,JPY,Asia,0.0065,0.5850650000000001,0.044004999999999996,0.008645,0.071825,0.73133125,Standard Non-Member,66.17935246935222,0.62907,54.694684018555165
RES000054,Osaka French Place 54,Local,French,-60.430337,148.072093,Osaka,Japan,1971,True,True,True,True,3,4.0,1098,Operational,81.3,19.4,4.1,9.8,2.87,1.93,24.07,80.0,0.018,False,True,True,80,40000,12067,JPY,Asia,0.0065,0.52845,0.0637,0.018655,0.15645499999999998,0.6605624999999999,Membership Partner,56.423024754687255,0.52845,77.58524442190476
RES000055,Delhi Burger Place 55,Local,Burger,47.076771,-141.086005,Delhi,India,1982,True,True,True,False,2,2.7,1841,Operational,46.15,25.2,2.4,5.78,4.71,0.17,19.74,73.0,0.078,True,False,True,38,14000,11312,INR,Asia,0.012,0.5538,0.06936,0.05652,0.23687999999999998,1.4573684210526314,Standard Non-Member,52.76207168143232,0.6231599999999999,43.33686649175426
RES000056,Los Angeles Mediterranean Place 56,Local,Mediterranean,-64.662384,20.675515,Los Angeles,USA,1984,True,False,False,False,3,2.9,1970,Operational,64.7,26.4,9.8,8.98,0.9,1.96,17.93,72.0,0.094,False,False,True,95,75000,2990,USD,North America,1.0,64.7,8.98,0.9,17.93,68.10526315789474,Standard Non-Member,54.680486495596135,73.68,1.514683129603043
RES000057,Tokyo Indian Place 57,Local,Indian,-26.185224,138.479371,Tokyo,Japan,1965,False,True,True,True,3,4.2,1200,Operational,73.58,64.4,5.1,,,,,,,True,False,False,85,45000,6349,JPY,Asia,0.0065,0.47827,,,,0.562670588235294,Standard Non-Member,75.93563402100898,0.47827,106.634104932141
RES000058,Indian Chain 58,Chain,Indian,-73.392921,5.111433,Osaka,Japan,1997,True,False,False,True,1,3.7,124,Operational,23.33,21.8,4.1,6.47,3.25,0.81,19.4,78.0,0.079,False,True,False,80,40000,12067,JPY,Asia,0.0065,0.15164499999999997,0.042054999999999995,0.021124999999999998,0.1261,0.18955624999999998,Membership Partner,47.92630805739107,0.15164499999999997,270.3665114806853
RES000059,Rio de Janeiro Italian Place 59,Local,Italian,60.57465,61.101391,Rio de Janeiro,Brazil,1950,True,False,False,True,2,4.6,4548,Operational,40.96,54.9,7.3,5.0,1.29,0.59,22.09,27.0,0.002,False,False,True,55,11000,5622,BRL,South America,0.18,7.3728,0.8999999999999999,0.2322,3.9762,13.405090909090909,Standard Non-Member,79.22633994013528,8.2728,9.90125733761158
RES000060,Osaka Mediterranean Place 60,Local,Mediterranean,-16.261997,-153.408534,Osaka,Japan,1968,True,False,False,True,2,4.7,4276,Operational,40.08,49.0,0.8,7.69,1.19,0.85,0.29,26.0,0.025,False,False,False,80,40000,12067,JPY,Asia,0.0065,0.26052,0.049985,0.007735,0.0018849999999999997,0.32565,Membership Partner,77.24917631470824,0.26052,30.70769726816649
RES000061,Manchester American Place 61,Local,American,89.144291,-119.615056,Manchester,United Kingdom,2002,True,False,False,False,1,4.9,2263,Operational,27.56,79.9,5.1,2.3,0.81,1.0,15.86,66.0,0.038,False,True,False,75,35000,4800,GBP,Europe,1.28,35.2768,2.944,1.0368000000000002,20.3008,47.03573333333333,Standard Non-Member,88.56863631813368,38.220800000000004,1.445709320411451
RES000062,Mumbai Italian Place 62,Local,Italian,-81.616657,63.59683,Mumbai,India,1951,True,True,False,False,3,3.8,2150,Operational,70.04,9.4,3.0,7.16,0.09,0.74,11.4,95.0,0.063,True,False,True,40,15000,20633,INR,Asia,0.012,0.8404800000000001,0.08592000000000001,0.00108,0.1368,2.1012000000000004,Standard Non-Member,53.58829835900147,0.9264000000000001,35.69384673776087
RES000063,Rio de Janeiro Indian Place 63,Local,Indian,14.82394,-64.416572,Rio de Janeiro,Brazil,1952,False,False,True,False,4,3.2,1949,Operational,84.51,70.4,4.2,,,,,,,False,False,True,55,11000,5622,BRL,South America,0.18,15.2118,,,,27.657818181818183,Standard Non-Member,74.04275785475728,15.2118,2.761014294099693
RES000064,Rio de Janeiro Japanese Place 64,Local,Japanese,86.662811,3.884244,Rio de Janeiro,Brazil,1978,True,True,False,True,4,3.7,4966,Operational,85.1,38.0,7.0,8.22,0.86,1.9,6.52,24.0,0.081,True,True,True,55,11000,5622,BRL,South America,0.18,15.317999999999998,1.4796,0.1548,1.1736,27.850909090909088,Standard Non-Member,67.37597202744692,16.7976,4.569786880154925
RES000065,Los Angeles Italian Place 65,Local,Italian,25.536966,-179.063826,Los Angeles,USA,2023,True,False,False,True,4,5.0,232,Operational,113.39,43.0,0.4,0.03,4.42,0.09,23.0,83.0,0.065,False,False,True,95,75000,2990,USD,North America,1.0,113.39,0.03,4.42,23.0,119.35789473684211,Standard Non-Member,66.39967181457804,113.42,0.035276479096247655
RES000066,London Mexican Place 66,Local,Mexican,-27.111643,-177.049064,London,United Kingdom,1965,False,True,False,False,3,3.6,2270,Operational,57.58,48.6,4.8,,,,,,,True,False,True,90,50000,5700,GBP,Europe,1.28,73.7024,,,,81.89155555555556,Standard Non-Member,68.25950972524436,73.7024,0.6512677924834498
RES000067,Tokyo Thai Place 67,Local,Thai,18.558286,141.242308,Tokyo,Japan,1986,True,False,False,True,4,2.9,3187,Operational,70.89,48.5,8.5,8.76,2.19,1.85,0.12,26.0,0.015,True,False,True,85,45000,6349,JPY,Asia,0.0065,0.460785,0.05694,0.014235,0.00078,0.5420999999999999,Standard Non-Member,65.21414812332613,0.517725,184.46741003415906
RES000068,Osaka French Place 68,Local,French,15.277758,-29.802721,Osaka,Japan,1992,True,True,True,False,1,3.9,4152,Operational,24.27,81.3,5.5,4.4,1.23,0.85,24.47,71.0,0.037,True,False,True,80,40000,12067,JPY,Asia,0.0065,0.15775499999999998,0.0286,0.007995,0.15905499999999997,0.19719374999999997,Standard Non-Member,85.26555001495652,0.186355,348.63967139126254
RES000069,Italian Chain 69,Chain,Italian,22.325188,164.038198,New York,USA,1988,True,False,False,True,4,3.0,3682,Closed Temporarily,84.92,55.6,0.8,7.97,3.98,1.6,2.65,67.0,0.077,True,False,False,100,85000,10700,USD,North America,1.0,84.92,7.97,3.98,2.65,84.92,Standard Non-Member,69.16252154332729,92.89,0.09420631071353851
RES000070,Thai Chain 70,Chain,Thai,83.118435,93.996191,New York,USA,2000,False,True,True,False,3,3.2,4183,Operational,80.67,56.6,7.2,,,,,,,False,False,True,100,85000,10700,USD,North America,1.0,80.67,,,,80.67,Standard Non-Member,71.21174381145389,80.67,0.8925250912045979
RES000071,Rio de Janeiro Chinese Place 71,Local,Chinese,-86.753007,23.374352,Rio de Janeiro,Brazil,2023,True,False,True,False,1,4.3,4876,Operational,24.89,98.3,9.2,6.29,3.52,0.52,9.85,41.0,0.034,True,False,True,55,11000,5622,BRL,South America,0.18,4.4802,1.1321999999999999,0.6335999999999999,1.773,8.145818181818182,Standard Non-Member,95.03156584460687,5.6124,20.534792970226114
