Restaurant_ID,Restaurant_name,Chain_local,Cuisine,Latitude,Longitude,City,Country,Opening_year,Delivery_available,Takeaway,Dine_in,Reservations,Price_level,Average_rating,Review_count,Business_status,Delivery_fee,Service_fee,Packaging_fee,Estimated_delivery_time,Average_delivery_time,Peak_hour_multiplier,Minimum_order,Cancellation_rate,Availability,Average_menu_price,Popularity_score,Estimated_value_score,Total_Promo_Events,Avg_Discount_Nominal,Max_Discount_Nominal,Avg_Price_Markdown_Pct,Cost_of_living_index,Average_income,Currency,Region,FX_Rate,Minimum_order_USD,Average_menu_price_USD,Avg_Discount_USD,Promo_Attractiveness_Score,Min_Order_Friction_Ratio,Normalized_Review_Score,Composite_Volume_Index,Promo_Strategy_Segment
RES000010,New York Mexican Place 10,Local,Mexican,47.651833,-159.986456,New York,USA,1955,False,True,False,False,1,4.4,3515,Operational,,,,,,,,,,19.12,35.5,8.1,4.0,0.0,0.0,0.0,100,85000,USD,North America,1.0,,19.12,0.0,56.699999999999996,,95.8635945820129,59.64543783280516,"Growth Driver (High Promo, Low Barrier)"
RES000011,Osaka Japanese Place 11,Local,Japanese,-50.432663,54.882225,Osaka,Japan,2001,True,False,True,True,1,4.6,2510,Operational,9.28,1.82,0.7,47.0,43.0,1.86,20.0,0.081,False,25.24,11.2,1.0,4.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.13,0.16405999999999998,0.0,7.0,0.79238819707304,91.91117753524408,43.48447101409763,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000012,Mexican Chain 12,Chain,Mexican,-7.983916,166.02172,Delhi,India,1967,False,True,False,True,3,4.1,3699,Operational,,,,,,,,,,75.67,23.0,9.1,6.0,0.0,0.0,0.0,38,14000,INR,Asia,0.012,,0.9080400000000001,0.0,63.699999999999996,,96.46247312149858,52.38498924859943,"Growth Driver (High Promo, Low Barrier)"
RES000013,Italian Chain 13,Chain,Italian,-42.562566,100.414024,Los Angeles,USA,1993,True,False,False,True,4,4.6,2458,Operational,5.25,0.49,1.26,61.0,67.0,2.23,0.01,0.086,False,85.92,15.5,5.8,5.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,0.01,85.92,0.0,40.6,0.00011638733570312691,91.66548831413812,45.96619532565524,"Growth Driver (High Promo, Low Barrier)"
RES000014,Sao Paulo Italian Place 14,Local,Italian,72.756401,100.15703,Sao Paulo,Brazil,2005,False,False,True,True,2,2.5,2577,Operational,,,,,,,,,,43.51,9.7,2.0,1.0,0.0,0.0,0.0,50,12000,BRL,South America,0.18,,7.831799999999999,0.0,14.0,,92.22034283748597,42.70813713499439,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000015,Los Angeles Chinese Place 15,Local,Chinese,-6.768773,-60.106615,Los Angeles,USA,1950,False,True,False,False,2,4.5,3508,Operational,,,,,,,,,,51.89,34.6,3.4,6.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,,51.89,0.0,23.8,,95.84019677494042,59.09607870997617,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000016,Pizza Chain 16,Chain,Pizza,55.716595,103.576415,Rio de Janeiro,Brazil,2020,True,False,False,False,3,2.2,1789,Operational,2.5,4.48,0.83,84.0,82.0,2.0,18.89,0.083,False,67.58,55.4,7.9,2.0,0.0,0.0,0.0,55,11000,BRL,South America,0.18,3.4002,12.164399999999999,0.0,55.300000000000004,0.2795205452368761,87.93736238416541,68.41494495366615,"Basket Maximizer (High Promo, High Barrier)"
RES000017,London Japanese Place 17,Local,Japanese,-7.261116,50.226226,London,United Kingdom,2013,True,False,False,True,4,4.8,891,Operational,4.79,0.74,0.72,61.0,69.0,2.47,23.92,0.076,False,94.59,92.9,4.0,2.0,0.0,0.0,0.0,90,50000,GBP,Europe,1.28,30.617600000000003,121.07520000000001,0.0,28.0,0.25288085212429257,79.75992179598177,87.64396871839271,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000018,Manchester Pizza Place 18,Local,Pizza,-39.169714,68.985411,Manchester,United Kingdom,2007,True,True,False,True,2,5.0,3782,Operational,4.17,1.83,1.51,66.0,74.0,1.73,19.27,0.091,False,47.54,32.2,5.1,6.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,24.6656,60.8512,0.0,35.699999999999996,0.40534286250159635,96.72293457436606,58.00917382974643,"Basket Maximizer (High Promo, High Barrier)"
RES000019,Rio de Janeiro Mediterranean Place 19,Local,Mediterranean,73.173845,-2.805527,Rio de Janeiro,Brazil,1951,True,True,True,False,1,2.7,2151,Operational,1.28,4.96,0.76,18.0,14.0,1.9,21.61,0.023,True,23.52,26.1,4.3,5.0,0.0,0.0,0.0,55,11000,BRL,South America,0.18,3.8897999999999997,4.2336,0.0,30.099999999999998,0.9187922999829222,90.09978483831392,51.69991393532557,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000020,Burger Chain 20,Chain,Burger,89.228332,11.734299,Rio de Janeiro,Brazil,2023,True,False,False,True,1,3.4,511,Operational,9.53,2.12,0.98,82.0,91.0,1.28,11.95,0.038,True,24.24,30.8,4.6,3.0,0.0,0.0,0.0,55,11000,BRL,South America,0.18,2.151,4.3632,0.0,32.199999999999996,0.49298668569245374,73.24218219692999,47.776872878772,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000021,Chinese Chain 21,Chain,Chinese,-12.671637,-123.163857,London,United Kingdom,1950,True,False,False,True,4,4.5,1812,Operational,0.06,1.25,0.04,30.0,25.0,1.35,21.21,0.096,True,91.17,23.0,4.3,5.0,0.0,0.0,0.0,90,50000,GBP,Europe,1.28,27.1488,116.69760000000001,0.0,30.099999999999998,0.2326423145579488,88.08725932637647,49.03490373055059,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000022,Tokyo Burger Place 22,Local,Burger,-59.249298,46.950364,Tokyo,Japan,1962,False,False,True,False,4,3.5,1168,Operational,,,,,,,,,,90.82,76.5,2.4,7.0,0.0,0.0,0.0,85,45000,JPY,Asia,0.0065,,0.5903299999999999,0.0,16.8,,82.93504619671442,79.07401847868577,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000023,Delhi Mediterranean Place 23,Local,Mediterranean,70.184968,-163.987881,Delhi,India,2012,False,True,True,True,1,3.6,3326,Operational,,,,,,,,,,21.12,2.1,9.4,6.0,0.0,0.0,0.0,38,14000,INR,Asia,0.012,,0.25344,0.0,65.8,,95.21488691201829,39.34595476480732,"Growth Driver (High Promo, Low Barrier)"
RES000024,Mumbai Chinese Place 24,Local,Chinese,67.448729,-20.20856,Mumbai,India,2007,False,False,True,True,2,2.4,4477,Operational,,,,,,,,,,36.17,85.5,6.2,3.0,0.0,0.0,0.0,40,15000,INR,Asia,0.012,,0.43404000000000004,0.0,43.4,,98.70310819241185,90.78124327696474,"Growth Driver (High Promo, Low Barrier)"
RES000025,Mexican Chain 25,Chain,Mexican,38.540015,-36.149351,Osaka,Japan,1980,True,True,True,False,2,3.4,1257,Operational,6.11,2.56,1.33,19.0,23.0,1.25,23.13,0.025,True,32.54,75.5,1.6,2.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.15034499999999998,0.21150999999999998,0.0,11.200000000000001,0.7108140947752126,83.79651254341935,78.81860501736773,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000026,Burger Chain 26,Chain,Burger,-41.769467,-77.311211,Los Angeles,USA,2000,True,False,False,False,4,4.9,4459,Operational,3.14,2.15,1.86,67.0,73.0,2.07,3.26,0.072,False,58.32,41.8,2.9,1.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,3.26,58.32,0.0,20.3,0.055898490125197355,98.6558196375274,64.54232785501097,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000027,Los Angeles Mexican Place 27,Local,Mexican,26.572574,-121.222318,Los Angeles,USA,2005,True,True,True,True,2,4.9,873,Operational,4.58,3.45,0.93,90.0,100.0,1.27,24.92,0.045,True,49.39,78.5,6.1,1.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,24.92,49.39,0.0,42.699999999999996,0.5045555678364939,79.52057911783841,78.90823164713537,"Basket Maximizer (High Promo, High Barrier)"
RES000028,American Chain 28,Chain,American,72.655715,-72.936624,Manchester,United Kingdom,2004,True,False,False,False,3,4.2,1794,Operational,5.74,1.68,0.56,30.0,25.0,1.49,14.02,0.036,False,62.89,99.3,2.2,5.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,17.9456,80.4992,0.0,15.400000000000002,0.22292892074792145,87.97011186550834,94.76804474620334,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000029,Osaka Italian Place 29,Local,Italian,-41.037565,-153.804078,Osaka,Japan,2000,True,True,True,True,3,2.1,2694,Operational,8.02,2.87,1.65,76.0,86.0,1.26,5.89,0.082,False,71.2,68.9,0.7,,,,,80,40000,JPY,Asia,0.0065,0.038285,0.4628,0.0,4.8999999999999995,0.08272454035319717,92.74144476328296,78.43657790531319,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000030,Delhi Brazilian Place 30,Local,Brazilian,2.789143,9.075067,Delhi,India,1960,True,True,False,False,2,3.0,3241,Operational,5.82,3.29,0.62,17.0,24.0,1.88,14.72,0.017,True,39.59,25.9,1.2,5.0,0.0,0.0,0.0,38,14000,INR,Asia,0.012,0.17664000000000002,0.47508000000000006,0.0,8.4,0.3718102807731734,94.91103134022548,53.50441253609019,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000031,Delhi Burger Place 31,Local,Burger,-87.86337,-100.461958,Delhi,India,1991,False,False,True,False,2,4.6,3706,Operational,,,,,,,,,,39.88,66.5,7.1,2.0,0.0,0.0,0.0,38,14000,INR,Asia,0.012,,0.47856000000000004,0.0,49.699999999999996,,96.48466423655428,78.49386569462172,"Growth Driver (High Promo, Low Barrier)"
RES000032,Japanese Chain 32,Chain,Japanese,68.017251,-135.740968,Tokyo,Japan,2015,True,False,True,False,3,4.6,3404,Operational,6.46,1.61,1.49,58.0,62.0,2.34,18.2,0.05,False,73.38,60.0,4.1,3.0,0.0,0.0,0.0,85,45000,JPY,Asia,0.0065,0.11829999999999999,0.47696999999999995,0.0,28.699999999999996,0.2480234647389464,95.48696478958884,74.19478591583554,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000033,Sao Paulo Brazilian Place 33,Local,Brazilian,-63.710917,-162.204457,Sao Paulo,Brazil,2002,True,False,False,False,2,2.6,4639,Operational,6.97,3.91,1.53,81.0,80.0,1.65,7.26,0.009,False,43.36,87.3,4.5,6.0,0.0,0.0,0.0,50,12000,BRL,South America,0.18,1.3068,7.804799999999999,0.0,31.5,0.16743540290136802,99.12034674587974,92.0281386983519,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000034,Sao Paulo French Place 34,Local,French,57.908244,-50.71909,Sao Paulo,Brazil,1992,True,True,True,True,4,2.4,4427,Operational,7.3,2.61,0.1,27.0,22.0,2.34,23.75,0.015,True,85.77,86.9,8.2,4.0,0.0,0.0,0.0,50,12000,BRL,South America,0.18,4.2749999999999995,15.4386,0.0,57.39999999999999,0.2769033282225507,98.57127791166526,91.5685111646661,"Basket Maximizer (High Promo, High Barrier)"
RES000035,London Japanese Place 35,Local,Japanese,-78.587184,76.641422,London,United Kingdom,2017,False,True,False,False,4,3.7,4382,Operational,,,,,,,,,,92.65,61.5,7.5,2.0,0.0,0.0,0.0,90,50000,GBP,Europe,1.28,,118.59200000000001,0.0,52.5,,98.45135162431254,76.28054064972503,"Growth Driver (High Promo, Low Barrier)"
RES000036,Rio de Janeiro French Place 36,Local,French,-13.975236,162.348224,Rio de Janeiro,Brazil,1988,True,True,False,False,4,2.3,4829,Operational,8.57,0.34,1.18,73.0,70.0,1.77,5.19,0.009,True,66.71,1.5,2.1,1.0,0.0,0.0,0.0,55,11000,BRL,South America,0.18,0.9342,12.007799999999998,0.0,14.700000000000001,0.07779942389118542,99.59152496459795,40.73660998583918,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000037,Italian Chain 37,Chain,Italian,64.175027,-174.784093,Rio de Janeiro,Brazil,1974,True,False,False,False,4,2.2,3983,Operational,0.87,0.07,0.43,69.0,68.0,1.64,17.28,0.067,False,109.36,69.3,1.9,2.0,0.0,0.0,0.0,55,11000,BRL,South America,0.18,3.1104000000000003,19.6848,0.0,13.299999999999999,0.15801023337751802,97.33073784268502,80.512295137074,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000038,London Thai Place 38,Local,Thai,29.468294,-37.989395,London,United Kingdom,1961,False,True,False,False,2,2.1,861,Operational,,,,,,,,,,52.61,91.9,2.2,6.0,0.0,0.0,0.0,90,50000,GBP,Europe,1.28,,67.3408,0.0,15.400000000000002,,79.35826296413266,86.88330518565307,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000039,French Chain 39,Chain,French,-30.786774,-175.885342,Sao Paulo,Brazil,1991,False,True,False,True,1,2.5,1728,Operational,,,,,,,,,,21.59,36.8,5.3,8.0,0.0,0.0,0.0,50,12000,BRL,South America,0.18,,3.8861999999999997,0.0,37.1,,87.53028462629159,57.09211385051663,"Growth Driver (High Promo, Low Barrier)"
RES000040,Mumbai Thai Place 40,Local,Thai,-47.105137,63.125573,Mumbai,India,1997,False,True,False,True,1,3.9,3480,Operational,,,,,,,,,,20.62,17.4,4.8,9.0,0.0,0.0,0.0,40,15000,INR,Asia,0.012,,0.24744000000000002,0.0,33.6,,95.74613644908085,48.73845457963234,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000041,Manchester French Place 41,Local,French,20.086165,-162.576135,Manchester,United Kingdom,1982,True,True,False,True,1,3.5,3919,Operational,1.1,3.55,0.39,15.0,24.0,1.74,13.38,0.036,False,25.5,86.8,6.1,2.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,17.1264,32.64,0.0,42.699999999999996,0.5247058662773938,97.1406011941348,90.93624047765393,"Basket Maximizer (High Promo, High Barrier)"
RES000042,Delhi American Place 42,Local,American,-21.90693,-173.535476,Delhi,India,1965,True,False,True,True,2,3.5,3891,Operational,2.41,2.96,0.24,74.0,83.0,1.18,19.72,0.094,True,33.64,2.9,8.0,3.0,0.0,0.0,0.0,38,14000,INR,Asia,0.012,0.23664,0.40368000000000004,0.0,56.0,0.586205444397928,97.05643824269718,40.56257529707888,"Basket Maximizer (High Promo, High Barrier)"
RES000043,Mumbai Thai Place 43,Local,Thai,54.619859,-158.187111,Mumbai,India,1960,True,False,False,False,4,5.0,428,Operational,2.37,3.44,0.48,50.0,46.0,1.63,18.58,0.063,False,72.44,56.2,8.7,,,,,40,15000,INR,Asia,0.012,0.22296,0.8692799999999999,0.0,60.89999999999999,0.2564878330482318,71.16563480089114,62.18625392035646,"Basket Maximizer (High Promo, High Barrier)"
RES000044,Brazilian Chain 44,Chain,Brazilian,-51.050984,149.155581,New York,USA,2002,True,True,False,False,4,4.3,108,Operational,9.1,4.25,1.55,45.0,43.0,1.17,0.36,0.076,False,74.46,54.3,8.4,2.0,0.0,0.0,0.0,100,85000,USD,North America,1.0,0.36,74.46,0.0,58.800000000000004,0.004834810571651752,55.079621050857476,54.611848420342994,"Growth Driver (High Promo, Low Barrier)"
RES000045,Manchester American Place 45,Local,American,-69.582118,-127.036167,Manchester,United Kingdom,2004,True,False,True,True,4,3.8,3714,Closed Temporarily,0.39,2.82,1.31,27.0,24.0,2.06,18.87,0.051,False,105.12,18.7,9.3,3.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,24.1536,134.55360000000002,0.0,65.10000000000001,0.1795091310859826,96.50997425756354,49.82398970302542,"Growth Driver (High Promo, Low Barrier)"
RES000046,New York Japanese Place 46,Local,Japanese,40.191584,160.246385,New York,USA,2000,True,True,True,False,2,3.9,4639,Operational,3.07,3.19,1.77,68.0,76.0,2.25,22.92,0.052,True,62.31,40.0,0.8,1.0,0.0,0.0,0.0,100,85000,USD,North America,1.0,22.92,62.31,0.0,5.6000000000000005,0.36783822231041213,99.12034674587974,63.6481386983519,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000047,New York Burger Place 47,Local,Burger,-58.579879,77.856411,New York,USA,1985,True,False,False,True,4,3.9,214,Operational,6.73,4.97,0.17,62.0,62.0,2.36,14.04,0.1,True,86.06,83.9,6.7,6.0,0.0,0.0,0.0,100,85000,USD,North America,1.0,14.04,86.06,0.0,46.9,0.16314199206202656,63.05495026517571,75.5619801060703,"Growth Driver (High Promo, Low Barrier)"
RES000048,Mumbai Pizza Place 48,Local,Pizza,70.507769,-116.169831,Mumbai,India,2018,True,True,False,True,1,3.4,221,Operational,9.72,0.0,0.27,36.0,42.0,1.06,11.98,0.07,False,23.67,10.0,0.5,7.0,0.0,0.0,0.0,40,15000,INR,Asia,0.012,0.14376,0.28404,0.0,3.5,0.5061241158846786,63.43111411131738,31.37244564452695,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000049,Manchester Mexican Place 49,Local,Mexican,4.778616,152.150588,Manchester,United Kingdom,2000,True,False,False,True,2,4.5,3652,Operational,2.61,1.67,0.47,86.0,84.0,1.28,11.29,0.053,False,41.65,78.5,8.9,2.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,14.4512,53.312,0.0,62.300000000000004,0.27106842228638167,96.31237940644111,85.62495176257644,"Basket Maximizer (High Promo, High Barrier)"
RES000050,Tokyo Japanese Place 50,Local,Japanese,11.744267,-174.119012,Tokyo,Japan,2011,True,True,False,True,4,4.8,3395,Operational,9.19,2.87,0.05,84.0,92.0,1.06,9.53,0.09,False,77.0,6.9,8.2,2.0,0.0,0.0,0.0,85,45000,JPY,Asia,0.0065,0.06194499999999999,0.5005,0.0,57.39999999999999,0.12376598648154548,95.45589106668902,42.32235642667561,"Growth Driver (High Promo, Low Barrier)"
RES000051,Tokyo Italian Place 51,Local,Italian,66.863704,144.487787,Tokyo,Japan,1959,False,False,True,True,2,3.1,3544,Operational,,,,,,,,,,41.86,23.4,3.6,,,,,85,45000,JPY,Asia,0.0065,,0.27209,0.0,25.2,,95.9600346546483,52.42401386185932,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000052,Los Angeles French Place 52,Local,French,20.228047,46.384744,Los Angeles,USA,2013,True,False,False,False,3,3.0,1936,Operational,8.4,3.9,0.04,42.0,45.0,2.23,4.11,0.043,False,63.3,30.6,1.6,6.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,4.11,63.3,0.0,11.200000000000001,0.06492890892687349,88.86399290343081,53.90559716137233,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000053,Mediterranean Chain 53,Chain,Mediterranean,-5.010094,177.255666,Osaka,Japan,1969,True,False,False,False,4,4.4,1215,Operational,6.77,1.33,1.07,84.0,86.0,1.55,11.05,0.061,False,90.01,36.9,3.2,8.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.071825,0.5850650000000001,0.0,22.400000000000002,0.12276392748852265,83.39784156450743,55.499136625802976,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000054,Osaka French Place 54,Local,French,-60.430337,148.072093,Osaka,Japan,1971,True,True,True,True,3,4.0,1098,Operational,9.8,2.87,1.93,85.0,80.0,1.03,24.07,0.018,True,81.3,19.4,4.1,5.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.15645499999999998,0.52845,0.0,28.699999999999996,0.2960634003909539,82.2100825156242,44.52403300624968,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000055,Delhi Burger Place 55,Local,Burger,47.076771,-141.086005,Delhi,India,1982,True,True,True,False,2,2.7,1841,Operational,5.78,4.71,0.17,68.0,73.0,2.29,19.74,0.078,True,46.15,25.2,2.4,1.0,0.0,0.0,0.0,38,14000,INR,Asia,0.012,0.23687999999999998,0.5538,0.0,16.8,0.4277348722736145,88.27357227144105,50.42942890857642,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000056,Los Angeles Mediterranean Place 56,Local,Mediterranean,-64.662384,20.675515,Los Angeles,USA,1984,True,False,False,False,3,2.9,1970,Operational,8.98,0.9,1.96,67.0,72.0,2.17,17.93,0.094,True,64.7,26.4,9.8,6.0,0.0,0.0,0.0,95,75000,USD,North America,1.0,17.93,64.7,0.0,68.60000000000001,0.27712518891614857,89.0682883186538,51.46731532746152,"Basket Maximizer (High Promo, High Barrier)"
RES000057,Tokyo Indian Place 57,Local,Indian,-26.185224,138.479371,Tokyo,Japan,1965,False,True,True,True,3,4.2,1200,Operational,,,,,,,,,,73.58,64.4,5.1,9.0,0.0,0.0,0.0,85,45000,JPY,Asia,0.0065,,0.47827,0.0,35.699999999999996,,83.25211340336325,71.94084536134531,"Growth Driver (High Promo, Low Barrier)"
RES000058,Indian Chain 58,Chain,Indian,-73.392921,5.111433,Osaka,Japan,1997,True,False,False,True,1,3.7,124,Operational,6.47,3.25,0.81,70.0,78.0,2.42,19.4,0.079,False,23.33,21.8,4.1,3.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.1261,0.15164499999999997,0.0,28.699999999999996,0.8315418804320589,56.68769352463692,35.75507740985477,"Strict Gatekeeper (Low Promo, High Barrier)"
RES000059,Rio de Janeiro Italian Place 59,Local,Italian,60.57465,61.101391,Rio de Janeiro,Brazil,1950,True,False,False,True,2,4.6,4548,Operational,5.0,1.29,0.59,20.0,27.0,1.4,22.09,0.002,True,40.96,54.9,7.3,6.0,0.0,0.0,0.0,55,11000,BRL,South America,0.18,3.9762,7.3728,0.0,51.1,0.5393065674768653,98.88779980045092,72.49511992018037,"Basket Maximizer (High Promo, High Barrier)"
RES000060,Osaka Mediterranean Place 60,Local,Mediterranean,-16.261997,-153.408534,Osaka,Japan,1968,True,False,False,True,2,4.7,4276,Operational,7.69,1.19,0.85,20.0,26.0,1.74,0.29,0.025,False,40.08,49.0,0.8,5.0,0.0,0.0,0.0,80,40000,JPY,Asia,0.0065,0.0018849999999999997,0.26052,0.0,5.6000000000000005,0.007235501168811728,98.16392104902746,68.66556841961099,"Organic Frictions-Free (Low Promo, Low Barrier)"
RES000061,Manchester American Place 61,Local,American,89.144291,-119.615056,Manchester,United Kingdom,2002,True,False,False,False,1,4.9,2263,Operational,2.3,0.81,1.0,63.0,66.0,2.41,15.86,0.038,False,27.56,79.9,5.1,4.0,0.0,0.0,0.0,75,35000,GBP,Europe,1.28,20.3008,35.2768,0.0,35.699999999999996,0.5754716818001723,90.69545439377895,84.21818175751159,"Basket Maximizer (High Promo, High Barrier)"
RES000062,Mumbai Italian Place 62,Local,Italian,-81.616657,63.59683,Mumbai,India,1951,True,True,False,False,3,3.8,2150,Operational,7.16,0.09,0.74,85.0,95.0,1.68,11.4,0.063,False,70.04,9.4,3.0,7.0,0.0,0.0,0.0,40,15000,INR,Asia,0.012,0.1368,0.8404800000000001,0.0,21.0,0.16276394112418957,90.09432786333824,41.677731145335294,"Organic Frictions-Free (Low Promo, Low Barrier)"
